Vendor id,expedia,Expedia Status
FR-14800-44,110137943,Stop Sold
FR-14800-45,110135893,Stop Sold
FR-14800-47,110135886,Stop Sold
FR-14800-48,110137914,Stop Sold
FR-14800-50,110137263,Stop Sold
FR-14800-51,110135806,Stop Sold
FR-14910-06,110135803,Stop Sold
FR-33000-28,110134495,Stop Sold
FR-33000-29,110135827,Stop Sold
FR-33000-30,110135888,Stop Sold
FR-33000-31,110137683,Stop Sold
FR-33000-32,110134757,Stop Sold
FR-33000-33,110135783,Stop Sold
FR-33000-34,110137616,Stop Sold
FR-33000-35,110135875,Stop Sold
FR-33000-36,110135956,Stop Sold
FR-33000-37,110137247,Stop Sold
FR-33000-38,110135876,Stop Sold
FR-74120-56,109679733,Stop Sold
FR-74120-58,109684595,Stop Sold
FR-74120-59,110135932,Stop Sold
FR-74120-60,110137156,Stop Sold
FR-74120-61,110137361,Stop Sold
FR-74120-62,110135964,Stop Sold
FR-74120-63,110135877,Stop Sold
FR-74120-64,110135969,Stop Sold
FR-74700-08,110136911,Stop Sold
FR-75001-13,109680384,Stop Sold
FR-75001-14,109679697,Stop Sold
FR-75001-15,109679998,Stop Sold
FR-75001-16,109674569,Stop Sold
FR-75001-17,109679935,Stop Sold
FR-75001-20,110136187,Stop Sold
FR-75001-21,110135867,Stop Sold
FR-75001-23,110135897,Stop Sold
FR-75001-24,110135925,Stop Sold
FR-75001-25,110135900,Stop Sold
FR-75001-28,110135891,Stop Sold
FR-75001-29,110135784,Stop Sold
FR-75001-30,110138000,Stop Sold
FR-75001-31,110137525,Stop Sold
FR-75001-35,110136686,Stop Sold
FR-75001-36,110135831,Stop Sold
FR-75001-37,110135948,Stop Sold
FR-75001-38,110135979,Stop Sold
FR-75001-39,110135843,Stop Sold
FR-75001-41,110136449,Stop Sold
FR-75001-43,110135904,Stop Sold
FR-75001-44,110137211,Stop Sold
FR-75001-45,110136559,Stop Sold
FR-75001-46,110135933,Stop Sold
FR-75002-100,110149477,Stop Sold
FR-75002-101,110135911,Stop Sold
FR-75002-103,110135899,Stop Sold
FR-75002-104,110135894,Stop Sold
FR-75002-106,110135892,Stop Sold
FR-75002-107,110135862,Stop Sold
FR-75002-108,110137429,Stop Sold
FR-75002-109,110135965,Stop Sold
FR-75002-110,110136685,Stop Sold
FR-75002-111,110135895,Stop Sold
FR-75002-112,110135901,Stop Sold
FR-75002-113,110135935,Stop Sold
FR-75002-114,110135903,Stop Sold
FR-75002-117,110137079,Stop Sold
FR-75002-118,110135951,Stop Sold
