Property Id,System Id,API Type,API Client UUID,Created Date
66046404,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,9/24/21 07:19
47012977,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,9/24/21 07:19
19958073,142,AR,816c659f-5745-483b-adad-0033a822f943,12/11/20 05:29
76479389,142,AR,816c659f-5745-483b-adad-0033a822f943,3/19/22 13:55
15994716,142,BR,816c659f-5745-483b-adad-0033a822f943,4/7/21 12:10
74995655,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,2/22/22 10:36
44805699,142,BR,816c659f-5745-483b-adad-0033a822f943,4/6/21 01:18
16429326,142,AR,816c659f-5745-483b-adad-0033a822f943,12/11/20 05:29
44805699,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,9/24/21 07:19
15994716,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,9/24/21 07:19
47012977,142,BR,816c659f-5745-483b-adad-0033a822f943,4/6/21 01:18
53433442,142,BR,816c659f-5745-483b-adad-0033a822f943,4/6/21 01:18
44805699,142,AR,816c659f-5745-483b-adad-0033a822f943,12/11/20 05:29
74995655,142,BR,816c659f-5745-483b-adad-0033a822f943,2/22/22 10:36
19958073,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,9/24/21 07:19
76479389,142,BR,816c659f-5745-483b-adad-0033a822f943,3/19/22 13:55
76479389,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,3/19/22 13:55
53433442,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,9/24/21 07:19
15994716,142,AR,816c659f-5745-483b-adad-0033a822f943,11/11/20 21:56
74995655,142,AR,816c659f-5745-483b-adad-0033a822f943,2/22/22 10:36
19958073,142,BR,816c659f-5745-483b-adad-0033a822f943,4/6/21 01:18
66046404,142,BR,816c659f-5745-483b-adad-0033a822f943,4/6/21 01:18
53433442,142,AR,816c659f-5745-483b-adad-0033a822f943,12/11/20 05:29
16429326,142,PRODUCT_READONLY,816c659f-5745-483b-adad-0033a822f943,9/24/21 07:19
66046404,142,AR,816c659f-5745-483b-adad-0033a822f943,3/18/21 18:25
