Hotel ID,Room Type Code,Beddingoption1,Smoking,Max Occupancy,Max Adults,Max Children,RNS Room Type,RNS Bedrooms,Cancellation Window Hours,Outside Window Penalty
105094964,496486,1 Queenbed & 2 Fullbed & 1 Sofabed,no,6.0,6.0,5.0,apts,2,720,100% Cost of Stay
123624736,503958,2 Kingbed & 2 Twinbed,no,6.0,6.0,5.0,home,3,None,100% Cost of Stay
