Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
111277651,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277648,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111278290,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277741,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277621,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277619,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277617,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277616,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277614,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277724,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277607,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111278291,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111278289,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111277654,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
