uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
106940155|106940155|106940155_000001|Bautismos S/N 28 may–16 jul 1978 - DGS(106940155)|Bautismos S/N 28 may–16 jul 1978 - DGS(106940155)|ES|Español|1978/1978|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940156|106940156|106940156_000001|Bautismos S/N 13 sep 1987–7 feb 1988 - DGS(106940156)|Bautismos S/N 13 sep 1987–7 feb 1988 - DGS(106940156)|ES|Español|1988/1988|Inmaculada Concepción, Checacupe, Checacupe, Canchis, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940157|106940157|106940157_000001|Bautismos S/N 28 sep 1986–16 sep 1987 - DGS(106940157)|Bautismos S/N 28 sep 1986–16 sep 1987 - DGS(106940157)|ES|Español|1987/1987|Inmaculada Concepción, Checacupe, Checacupe, Canchis, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940158|106940158|106940158_000001|Bautismos S/N 3 ago–17 sep 1986 - DGS(106940158)|Bautismos S/N 3 ago–17 sep 1986 - DGS(106940158)|ES|Español|1986/1986|San Sebastián, Livitaca, Livitaca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940159|106940159|106940159_000001|Bautismos S/N 11 feb–11 mar 1962 - DGS(106940159)|Bautismos S/N 11 feb–11 mar 1962 - DGS(106940159)|ES|Español|1962/1962|Santo Tomás, Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940160|106940160|106940160_000001|Indices 1 - 2 1797–1824 - DGS(106940160)|Indices 1 - 2 1797–1824 - DGS(106940160)|ES|Español|1824/1824|Inmaculada Concepción, Sicuani, Canchis, Cusco, Perú|Bautizo|1-2|Bautizo
106940161|106940161|106940161_000001|Indices 1 1824–1895 - DGS(106940161)|Indices 1 1824–1895 - DGS(106940161)|ES|Español|1895/1895|Santa Bárbara, San Pablo, Canchis, Cusco, Perú|Matrimonio|1|Matrimonio
106940162|106940162|106940162_000001|Indices 1 - 3 1824–1844 - DGS(106940162)|Indices 1 - 3 1824–1844 - DGS(106940162)|ES|Español|1844/1844|Santa Bárbara, San Pablo, Canchis, Cusco, Perú|Bautizo|1-3|Bautizo
106940163|106940163|106940163_000001|Indices 1 - 7 1667–1857 - DGS(106940163)|Indices 1 - 7 1667–1857 - DGS(106940163)|ES|Español|1856/1856|San Bartolomé, Tinta, Tinta, Canchis, Cusco, Perú|Registros varios|1-7|Registros varios
106940164|106940164|106940164_000001|Indices 8 1758–1831 - DGS(106940164)|Indices 8 1758–1831 - DGS(106940164)|ES|Español|1831/1831|San Bartolomé, Tinta, Tinta, Canchis, Cusco, Perú|Registros varios|8|Registros varios
