Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
102769615,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769267,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769223,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102769222,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769216,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102769203,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769204,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769201,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769200,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769270,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769269,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769199,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769186,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769980,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769739,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769598,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769589,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769333,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769274,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769197,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769187,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769321,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769281,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102769196,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769718,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102769609,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102769610,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102769600,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102769212,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769211,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769835,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102769202,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
72281564,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
88075189,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
70927012,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
88075795,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
78117418,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
55082803,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
