Expedia ID,Notes
134247166,Please remove the stop sold flag
134309304,Please remove the stop sold flag
134442816,Please remove the stop sold flag
134515611,Please remove the stop sold flag
134515625,Please remove the stop sold flag
134550987,Please remove the stop sold flag
134550989,Please remove the stop sold flag
134550990,Please remove the stop sold flag
134550991,Please remove the stop sold flag
134610730,Please remove the stop sold flag
