Provider,Provider Property ID,Expedia ID,,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
Avantio,81623a0d-d7da-4276-a5e7-cf604ffe7aca,106866606,106866606,RENTERS,Lema Apartment Gdańsk by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,46,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,45
Avantio,22417fee-4623-4132-95a0-d4ecb6f7573d,107484688,107484688,RENTERS,Szymony Apartment by Renters Prestige,POL,OnboardingSucceeded,,,FALSE,FALSE,N/A,TRUE,6,41,TRUE,13,13,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,e575239b-813a-4027-a516-bc835ff5a6f6,106860523,106860523,RENTERS,Apartment with Mountain View by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,ec7189d5-eee4-4fda-b0fb-0266e9707941,107418526,107418526,RENTERS,Exceptional Apartment for 6 by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,21,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,39
Avantio,0123cf3e-5f24-4f8f-8429-b9cd9f471005,106637680,106637680,RENTERS,Modern Studio Warsaw by Renters Prestige,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,44
Avantio,87b122a3-4e36-443c-a844-fc3bcf9b569b,107284628,107284628,RENTERS,Unique Studio with Garden by Renters,POL,OnboardingSucceeded,,,FALSE,FALSE,N/A,FALSE,6,1,N/A,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
Avantio,d9486f19-04cd-4230-971f-cd9a12e98037,107282790,107282790,RENTERS,Cozy Studio in Łódź by Renters,POL,OnboardingSucceeded,,,FALSE,FALSE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,14f76644-442c-4486-9646-66a8168c8a6f,106900113,106900113,RENTERS,Apartment with Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,38
Avantio,2800ffa3-0f2b-4bff-a1c1-7325d6713b7e,107212339,107212339,RENTERS,Sun Towers with Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,26,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,28
Avantio,b9e66e6e-f134-4f8a-a38c-e7978701caab,107211668,107211668,RENTERS,Studio with Bathub in Lodz by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,19,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,36
Avantio,044d9460-fcc7-406c-a015-6d2effbf5fa0,107044446,107044446,RENTERS,Warsaw Apartment with Balcony by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,25
Avantio,6f16458c-75b5-481b-b550-0d411fc1c7dc,107043363,107043363,RENTERS,Apartport Apartment | AC | by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,45,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,44
Avantio,2775c08f-4636-44df-8414-e73f8e26024b,106993116,106993116,RENTERS,Two-level Apartment by Renters Prestige,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,15
Avantio,80dfc701-286f-4b85-9d09-106709006835,106865862,106865862,RENTERS,Podczele Na Fali Kołobrzeg by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,37,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,35
Avantio,7465b7b5-1ede-4fb5-8867-f5b8c2d7ee5d,106863594,106863594,RENTERS,Apartment Near Gubałówka by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,21,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,9d9efa2f-2ca4-4d86-b602-caf857aeaa4d,107396653,107396653,RENTERS,Tasteful Apartment for 6 by Renters,POL,OnboardingSucceeded,,,FALSE,FALSE,N/A,TRUE,6,23,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
Avantio,337afa7f-dc60-4f92-81d1-4ab047ac2b41,107331009,107331009,RENTERS,Warsaw Studio in City Center by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,262b3583-395e-4428-9f12-8cbcf1a775b7,107299180,107299180,RENTERS,Starowiejska Apartment Gdańsk by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,40,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,a63018be-e487-45ef-b59b-ef94f1236df7,106945188,106945188,RENTERS,Family Katowice Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,22
Avantio,cf81b3ff-d9ec-47da-886e-41dafa474135,107281938,107281938,RENTERS,Manganowa Two-level Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,31,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,31
Avantio,395326d8-2e4f-4fcc-bbe4-adcddac42320,106944770,106944770,RENTERS,Dietla Apartment with A/C by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,21,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,39
Avantio,bad7fe50-77d5-4910-94fc-a802f76c3f39,107243846,107243846,RENTERS,Apartment Business Center by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,23,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,45
Avantio,be396fb0-c3da-4428-a726-0bdc71fc5be8,106900875,106900875,RENTERS,Apartment in a Green Area by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,33,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,29
Avantio,e52ee438-a20e-498b-a161-163320c4de14,106686051,106686051,RENTERS,Mennica Residence City Center by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,47,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,45
Avantio,7d833e25-fca1-4c64-a5f3-f1de18831f38,107146906,107146906,RENTERS,Apartment Wrocław by Renters Prestige,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,45,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,36
Avantio,cc6d7d97-e256-4fe3-98ff-afb087c20e2f,107043383,107043383,RENTERS,Cosy Turquoise Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,42
Avantio,71a2bd0d-0008-4e58-9927-48652b0adf4e,106802131,106802131,RENTERS,Apartament na Alei Pokoju by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,33,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,33
Avantio,2efde784-7798-4d46-aedf-9d62800d2c4d,107454339,107454339,RENTERS,Two-Storey Apartment Wrocław by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,30,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,0257d003-612c-434c-9d34-00c616b92008,106939579,106939579,RENTERS,5th Floor Studio in Katowice by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,45
Avantio,03c89e94-8e12-401c-9a72-c5d63a7941e3,107218094,107218094,RENTERS,Beachside Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,26,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,14
Avantio,835c7ca1-fb45-4448-9f36-e93c7448356f,106892976,106892976,RENTERS,Nowa Flotylla Widok na Rzekę by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,34,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,36
Avantio,a9096ad9-3336-494d-84b7-cb1d7346844c,107168887,107168887,RENTERS,Cosy Studio for 2 by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,21,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,43
Avantio,722b2b96-22ce-4ac4-964e-5fffb5a0e5a3,106868045,106868045,RENTERS,Family Apartment with Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,35,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,43
Avantio,2a7f7026-2a8f-4ef9-8686-9c4dbd0fc532,106663680,106663680,RENTERS,Elegant City Center by Renters Prestige,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,49,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,41
Avantio,bb7a8e61-7844-493b-bcd7-9eb4e8293b69,105966606,105966606,RENTERS,Cosy Arianska studio by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,11,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,40
Avantio,1cf04277-19ce-407a-9621-544bb309891a,107092285,107092285,RENTERS,Studio 8 Minutes to the Beach by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,17,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,e21bd976-96fa-4057-be06-2c7d2ef78196,107421115,107421115,RENTERS,Elegant Apartment for 4 by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,22,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,ff5a7e36-e6a4-4943-86c5-45f9539355af,107046480,107046480,RENTERS,Apartport Studio by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,26,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,38
Avantio,c9ba20c0-6d15-4cdd-8eb7-8a99fbc015c9,106860206,106860206,RENTERS,Zakopane 3-Bedroom Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,561a9d8a-0af1-40fb-b693-385c6c8326e3,107170534,107170534,RENTERS,Studio with a View of Warsaw by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,30,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,36
Avantio,721cf785-ced5-4a1a-ab75-9c1b77373484,106869335,106869335,RENTERS,Latte Apartament Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,29,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,40
Avantio,95c924ae-9352-4c6a-8187-302ff059e15e,106987025,106987025,RENTERS,Księcia Witolda by Renters Prestige,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,41,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,41
