Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
40176571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40216963,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39756493,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39756522,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39664805,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39664868,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40281583,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39756426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40277263,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40216958,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40215781,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40186308,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40578100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40185950,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40132075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39664895,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39664742,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40175675,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39756394,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39756545,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40216640,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40152663,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40126835,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40216625,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39664871,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
