Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
108196539,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108264487,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108196581,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108193465,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108196583,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108196544,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108196541,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108193470,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108193466,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108193467,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108196582,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108196584,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108196540,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
