Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
104242035,w    Stylish 1BR in Chic  ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242023,w    Breathtaking 2BR w  AC in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242022,w    Lovely 2BR w  AC in Sunny Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103373360,Gorgeous 4-bed House Near Museums   Hyde Park ,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
102843682,Sosuite   3BR Apt w Balcony  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843499,Sosuite   2BR Apt w W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843850,Sosuite   2BR Apt w W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103073725,1BR Oasis near Takoma Metro  Minutes to Capital,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102843495,Sosuite   1BR Loft w Park View  W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843534,Sosuite   1BR Apt w W D  Large Dining Seating,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843501,Sosuite   2BR Penthouse w Balcony  W D  Gym,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843531,Sosuite   3BR Apt w Balcony  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843518,Sosuite   Micro Studio w Shared W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843675,Sosuite   3BR Apt w Balcony  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843853,Sosuite   Corner 1BR Apt w W D  Desk,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843517,Sosuite   2BR Apt w W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843674,Sosuite   2BR Apt w W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843536,Sosuite   2BR Apt w Balcony  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843803,Sosuite   2BR Apt w Patio  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843532,Sosuite   2BR Apt w  W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
102843723,Sosuite   1BR Apt w W D  Shared Roofdeck,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103212449,Villa La Timpa con jacuzzi privata e meravigliosa vista dell Etna e del mare,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
102843672,Sosuite   2BR Apt w Balcony  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843676,Sosuite   Corner 1BR Apt w W D  Shared Roofdeck,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843530,Sosuite   2BR Apt w Balcony  W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714592,Marske Stables 6  Eclipse,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
103480416,Bayfront View and Balcony Beachfront,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
103480405,Beachfront Resort   Pool   Ocean View Balcony  Gym,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102843809,Sosuite   Penthouse 1BR Apt w Arch Windows  W D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714595,Town Hall Lofts  Flat 1  Settle,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102843513,Sosuite   2BR Apt w W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843507,Sosuite   2BR Apt w W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714589,Marske Stables 5  Grooms Cottage,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102843505,Stairway   3BR Apt w W D Ideal for Groups,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714583,Marske Stables 1  Red Rum,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
101943373,Rest Easy in this Bloomingdale English Basement,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102565591,Villa Helios in Foinikas,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102843715,Sosuite   2BR Apt w W D  Gym  On-Site Restaurant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102850867,Anemolia Apartments with pool,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
102844861,Sosuite   Corner 3BR Apt w Park View  W D  Gym,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102843673,Sosuite   2BR Apt w W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
102714596,Marske Stables 9  Nijinski,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102843506,Sosuite   2BR Loft w W D  Shared Roofdeck,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714591,Marske Stables 4  Frankel,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
