Provider,Provider Property ID,Expedia ID,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
RentalsUnited,4193711,123251250,Landing,"Landing | Beautiful 1BD, Gym, Pool",USA,OnboardingSucceeded,,,True,True,N/A,TRUE,6,26,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,2
RentalsUnited,4198190,123250879,Landing,"Landing | Stylish Studio, Gym",USA,OnboardingSucceeded,,,True,True,N/A,TRUE,6,13,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,4189072,123250825,Landing,"Landing | Beautiful 3BD, Pool, Gym",USA,OnboardingSucceeded,,,True,True,N/A,TRUE,6,19,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,4056668,122666725,Landing,"Landing | Amazing Studio, Courtyard, Gym",USA,OnboardingSucceeded,,,False,False,TRUE,TRUE,6,56,N/A,,,,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,3,TRUE,1,1
RentalsUnited,4199679,123250466,Landing,"Landing | Spectacular 2BD, Clubhouse, Gym",USA,OnboardingSucceeded,,,True,False,N/A,TRUE,6,25,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,FALSE,1,0
RentalsUnited,4157833,122512427,Landing,Landing | Beautiful Studio in South End Stratford,USA,OnboardingSucceeded,,,True,False,N/A,TRUE,6,31,N/A,,,,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
RentalsUnited,4154934,122685800,Landing,"Landing | Stylish 2BD, Yoga Studio, Gym",USA,OnboardingSucceeded,,,True,True,TRUE,TRUE,6,40,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,2
RentalsUnited,4154946,121871927,Landing,"Landing | Amazing 1BD, Pool",USA,OnboardingSucceeded,,,False,True,TRUE,TRUE,6,52,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,3
RentalsUnited,4164621,123024788,Landing,"Landing | Beautiful 2BD, Gym, Pool",USA,OnboardingSucceeded,,,True,True,N/A,TRUE,6,26,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,11
