uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
106939894|106939894|106939894_000001|Defunciones_Vol. 04_1713–1762,Vol. 04 - DGS(106939894)|Defunciones_Vol. 04_1713–1762,Vol. 04 - DGS(106939894)|ES|Español|1762|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Registros de donativos de feligreses|Vol. 04|Registros de donativos de feligreses-1713—1762|
106939895|106939895|106939895_000001|Defunciones_Vol. 05_15 sep 1717–3 ago 1753,Vol. 05 - DGS(106939895)|Defunciones_Vol. 05_15 sep 1717–3 ago 1753,Vol. 05 - DGS(106939895)|ES|Español|1753|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Registros de donativos de feligreses|Vol. 05|Registros de donativos de feligreses-sept 1717—ago 1753|
106939896|106939896|106939896_000001|Defunciones_Vol. 06_9 nov 1742–1830,Vol. 06 - DGS(106939896)|Defunciones_Vol. 06_9 nov 1742–1830,Vol. 06 - DGS(106939896)|ES|Español|1830|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Registros de donativos de feligreses|Vol. 06|Registros de donativos de feligreses-1742—1830|
106939897|106939897|106939897_000001|Defunciones_Vol. 07_1781–1847,Vol. 07 - DGS(106939897)|Defunciones_Vol. 07_1781–1847,Vol. 07 - DGS(106939897)|ES|Español|1847|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Registros de donativos de feligreses|Vol. 07|Registros de donativos de feligreses-1781—1847|
106939898|106939898|106939898_000001|Defunciones_Vol. 09_1893–1945,Vol. 09 - DGS(106939898)|Defunciones_Vol. 09_1893–1945,Vol. 09 - DGS(106939898)|ES|Español|1942|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Registros de donativos de feligreses|Vol. 09|Registros de donativos de feligreses-1893—1942|
106939899|106939899|106939899_000001|Defunciones_Vol. 10_1910–1923,Vol. 10 - DGS(106939899)|Defunciones_Vol. 10_1910–1923,Vol. 10 - DGS(106939899)|ES|Español|1923|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Registros de donativos de feligreses|Vol. 10|Registros de donativos de feligreses-1910—1923|
106939900|106939900|106939900_000001|Defunciones_Vol. 11_1942–1944,Vol. 11 - DGS(106939900)|Defunciones_Vol. 11_1942–1944,Vol. 11 - DGS(106939900)|ES|Español|1944|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Registros de donativos de feligreses|Vol. 11|Registros de donativos de feligreses-nov 1942—nov 1944|
106939901|106939901|106939901_000001|Defunciones_1_4 ago 1766–27 feb 1792,Vol 1 - DGS(106939901)|Defunciones_1_4 ago 1766–27 feb 1792,Vol 1 - DGS(106939901)|ES|Español|1792|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 1|Defunciones parroquiales-ago 1766—feb 1792|
106939902|106939902|106939902_000001|Defunciones_2_20 nov 1792–25 jun 1805,Vol 2 - DGS(106939902)|Defunciones_2_20 nov 1792–25 jun 1805,Vol 2 - DGS(106939902)|ES|Español|1805|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 2|Defunciones parroquiales-nov 1792—jun 1805|
106939903|106939903|106939903_000001|Bautismos_26_1 jul 1872–20 jul 1875,Vol 26 - DGS(106939903)|Bautismos_26_1 jul 1872–20 jul 1875,Vol 26 - DGS(106939903)|ES|Español|1875|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 26|Bautismos-jul 1872—dic 1875|
106939904|106939904|106939904_000001|Bautismos_1_8 ago 1702–9 ene 1728,Vol 1 - DGS(106939904)|Bautismos_1_8 ago 1702–9 ene 1728,Vol 1 - DGS(106939904)|ES|Español|1728|Asunción, Capacmarca, Capacmarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 1|Bautismos-ago 1702—ene 1728|
106939905|106939905|106939905_000001|Bautismos_2_23 sep 1702–31 may 1809,Vol 2 - DGS(106939905)|Bautismos_2_23 sep 1702–31 may 1809,Vol 2 - DGS(106939905)|ES|Español|1809|Asunción, Capacmarca, Capacmarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 2|Bautismos-sept 1792—may 1809|
106939906|106939906|106939906_000001|Bautismos_3_2 abr 1837–4 dic 1842,Vol 3 - DGS(106939906)|Bautismos_3_2 abr 1837–4 dic 1842,Vol 3 - DGS(106939906)|ES|Español|1842|Asunción, Capacmarca, Capacmarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 3|Bautismos-abr 1837—dic 1842|
106939907|106939907|106939907_000001|Bautismos_4_4 dic 1842–6 oct 1852,Vol 4 - DGS(106939907)|Bautismos_4_4 dic 1842–6 oct 1852,Vol 4 - DGS(106939907)|ES|Español|1852|Asunción, Capacmarca, Capacmarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 4|Bautismos-dic 1842—nov 1852|
106939908|106939908|106939908_000001|Bautismos_5_28 feb 1853–8 mar 1874,Vol 5 - DGS(106939908)|Bautismos_5_28 feb 1853–8 mar 1874,Vol 5 - DGS(106939908)|ES|Español|1874|Asunción, Capacmarca, Capacmarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 5|Bautismos-feb 1853—mar 1874|
106939909|106939909|106939909_000001|Bautismos_1_1727–1747,Vol 1 - DGS(106939909)|Bautismos_1_1727–1747,Vol 1 - DGS(106939909)|ES|Español|1747|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 1|Bautismos-dic 1727—feb 1747|
106939910|106939910|106939910_000001|Bautismos_2_feb 1747–oct 1759,Vol 2 - DGS(106939910)|Bautismos_2_feb 1747–oct 1759,Vol 2 - DGS(106939910)|ES|Español|1759|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 2|Bautismos-feb 1747—oct 1759|
106939911|106939911|106939911_000001|Bautismos_3_16 feb 1764–4 abr 1773,Vol 3 - DGS(106939911)|Bautismos_3_16 feb 1764–4 abr 1773,Vol 3 - DGS(106939911)|ES|Español|1773|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 3|Bautismos-feb 1764—abr 1773|
106939912|106939912|106939912_000001|Bautismos_4_6 jun 1773–29 dic 1791,Vol 4 - DGS(106939912)|Bautismos_4_6 jun 1773–29 dic 1791,Vol 4 - DGS(106939912)|ES|Español|1791|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 4|Bautismos-jun 1773—dic 1791|
106939913|106939913|106939913_000001|Bautismos_5_31 ago 1792–2 jun 1820,Vol 5 - DGS(106939913)|Bautismos_5_31 ago 1792–2 jun 1820,Vol 5 - DGS(106939913)|ES|Español|1820|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 5|Bautismos-ene 1792—jun 1820|
106939914|106939914|106939914_000001|Bautismos_6_3 jun 1820–28 dic 1833,Vol 6 - DGS(106939914)|Bautismos_6_3 jun 1820–28 dic 1833,Vol 6 - DGS(106939914)|ES|Español|1833|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 6|Bautismos-jun 1820—dic 1833|
106939915|106939915|106939915_000001|Bautismos_7_1 ene–29 ago 1834,Vol 7 - DGS(106939915)|Bautismos_7_1 ene–29 ago 1834,Vol 7 - DGS(106939915)|ES|Español|1834|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 7|Bautismos-ene 1834—ago 1834|
106939916|106939916|106939916_000001|Bautismos_8_16 mar 1835–5 jul 1837,Vol 8 - DGS(106939916)|Bautismos_8_16 mar 1835–5 jul 1837,Vol 8 - DGS(106939916)|ES|Español|1837|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 8|Bautismos-mar 1835—jun 1837|
106939917|106939917|106939917_000001|Bautismos_9_8 feb 1844–15 dic 1860,Vol 9 - DGS(106939917)|Bautismos_9_8 feb 1844–15 dic 1860,Vol 9 - DGS(106939917)|ES|Español|1860|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 9|Bautismos-feb 1844—dic 1860|
106939918|106939918|106939918_000001|Bautismos_10_1 dic 1860–5 sep 1872,Vol 10 - DGS(106939918)|Bautismos_10_1 dic 1860–5 sep 1872,Vol 10 - DGS(106939918)|ES|Español|1872|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 10|Bautismos-dic 1860—sept 1872|
106939919|106939919|106939919_000001|Bautismos_1_1665–1693,Vol 1 - DGS(106939919)|Bautismos_1_1665–1693,Vol 1 - DGS(106939919)|ES|Español|1693|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 1|Bautismos-ene 1665—ago 1693|
106939920|106939920|106939920_000001|Bautismos_2_1737–1757,Vol 2 - DGS(106939920)|Bautismos_2_1737–1757,Vol 2 - DGS(106939920)|ES|Español|1757|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 2|Bautismos-oct 1737—ene 1757|
106939921|106939921|106939921_000001|Bautismos_3_19 dic 1773–30 ene 1778,Vol 3 - DGS(106939921)|Bautismos_3_19 dic 1773–30 ene 1778,Vol 3 - DGS(106939921)|ES|Español|1778|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 3|Bautismos-dic 1773—jun 1778|
106939922|106939922|106939922_000001|Bautismos_4_5 ago 1773–31 dic 1797,Vol 4 - DGS(106939922)|Bautismos_4_5 ago 1773–31 dic 1797,Vol 4 - DGS(106939922)|ES|Español|1797|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 4|Bautismos-ago 1773—dic 1797|
106939923|106939923|106939923_000001|Bautismos_5_1802–1815,Vol 5 - DGS(106939923)|Bautismos_5_1802–1815,Vol 5 - DGS(106939923)|ES|Español|1815|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 5|Bautismos-dic 1806—dic 1815|
106939924|106939924|106939924_000001|Bautismos_6_14 nov 1869–23 dic 1876,Vol 6 - DGS(106939924)|Bautismos_6_14 nov 1869–23 dic 1876,Vol 6 - DGS(106939924)|ES|Español|1876|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 6|Bautismos-nov 1869—dic 1876|
106939925|106939925|106939925_000001|Bautismos_7_28 jun 1878–23 ago 1885,Vol 7 - DGS(106939925)|Bautismos_7_28 jun 1878–23 ago 1885,Vol 7 - DGS(106939925)|ES|Español|1885|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Bautismos|Vol 7|Bautismos-jun 1878—dic 1885|
106939926|106939926|106939926_000001|Matrimonios_1_3 sep 1667–5 feb 1728,Vol 1 - DGS(106939926)|Matrimonios_1_3 sep 1667–5 feb 1728,Vol 1 - DGS(106939926)|ES|Español|1728|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Matrimonios parroquiales|Vol 1|Matrimonios parroquiales-sept 1667—feb 1728|
106939927|106939927|106939927_000001|Matrimonios_2_28 abr 1784–ene 1809,Vol 2 - DGS(106939927)|Matrimonios_2_28 abr 1784–ene 1809,Vol 2 - DGS(106939927)|ES|Español|1809|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Registros parroquiales|Vol 2|Registros parroquiales-abr 1784—ene 1809|
106939928|106939928|106939928_000001|Matrimonios_3_7 oct 1868–21 abr 1880,Vol 3 - DGS(106939928)|Matrimonios_3_7 oct 1868–21 abr 1880,Vol 3 - DGS(106939928)|ES|Español|1880|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Matrimonios parroquiales|Vol 3|Matrimonios parroquiales-oct 1868—abr 1880|
106939929|106939929|106939929_000001|Defunciones_3_7 ago 1821–27 dic 1832,Vol 3 - DGS(106939929)|Defunciones_3_7 ago 1821–27 dic 1832,Vol 3 - DGS(106939929)|ES|Español|1832|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 3|Defunciones parroquiales-ago 1821—nov 1832|
106939930|106939930|106939930_000001|Defunciones_4_2 ene 1833–20 dic 1853,Vol 4 - DGS(106939930)|Defunciones_4_2 ene 1833–20 dic 1853,Vol 4 - DGS(106939930)|ES|Español|1853|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 4|Defunciones parroquiales-1833—1853|
106939931|106939931|106939931_000001|Defunciones_5_ene 1854–feb 1862,Vol 5 - DGS(106939931)|Defunciones_5_ene 1854–feb 1862,Vol 5 - DGS(106939931)|ES|Español|1862|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 5|Defunciones parroquiales-feb 1854—dic 1862|
106939932|106939932|106939932_000001|Defunciones_6_24 feb 1864–15 mar 1880,Vol 6 - DGS(106939932)|Defunciones_6_24 feb 1864–15 mar 1880,Vol 6 - DGS(106939932)|ES|Español|1880|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 6|Defunciones parroquiales-mar 1864—abr 1880|
106939933|106939933|106939933_000001|Defunciones_7_15 jun 1903–23 dic 1912,Vol 7 - DGS(106939933)|Defunciones_7_15 jun 1903–23 dic 1912,Vol 7 - DGS(106939933)|ES|Español|1912|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 7|Defunciones parroquiales-jun 1903—dic 1912|
106939934|106939934|106939934_000001|Defunciones_8_23 oct 1934–6 dic 1938,Vol 8 - DGS(106939934)|Defunciones_8_23 oct 1934–6 dic 1938,Vol 8 - DGS(106939934)|ES|Español|1938|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 8|Defunciones parroquiales-oct 1934—dic 1938|
106939935|106939935|106939935_000001|Defunciones_9_13 nov 1943–30 ago 1964,Vol 9 - DGS(106939935)|Defunciones_9_13 nov 1943–30 ago 1964,Vol 9 - DGS(106939935)|ES|Español|1964|Santa Lucía, Pichigua, Espinar, Cusco, Perú|Defunciones parroquiales|Vol 9|Defunciones parroquiales-nov 1943—ago 1964|
106939936|106939936|106939936_000001|Defunciones_1_12 feb 1680–15 dic 1715,Vol 1 - DGS(106939936)|Defunciones_1_12 feb 1680–15 dic 1715,Vol 1 - DGS(106939936)|ES|Español|1715|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 1|Defunciones parroquiales-feb 1680—dic 1715|
106939937|106939937|106939937_000001|Defunciones_2_jun 1718–8 ene 1743,Vol 2 - DGS(106939937)|Defunciones_2_jun 1718–8 ene 1743,Vol 2 - DGS(106939937)|ES|Español|1743|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 2|Defunciones parroquiales-may 1718—ene 1743|
106939938|106939938|106939938_000001|Defunciones_3_jun 1751–8 ene 1766,Vol 3 - DGS(106939938)|Defunciones_3_jun 1751–8 ene 1766,Vol 3 - DGS(106939938)|ES|Español|1766|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 3|Defunciones parroquiales-ago 1751—ago 1766|
106939939|106939939|106939939_000001|Defunciones_4_2 ene 1796–aprox. mar 1839,Vol 4 - DGS(106939939)|Defunciones_4_2 ene 1796–aprox. mar 1839,Vol 4 - DGS(106939939)|ES|Español|1824|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 4|Defunciones parroquiales-ene 1796—mar 1824|
