uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
112039105|112039105|112039105_000001|Expedientes para la rectificación de bautismos 2009 - DGS(112039105)|Expedientes para la rectificación de bautismos 2009 - DGS(112039105)|ES|Español|2009/2009|Diócesis del Callao, Perú|Bautizo||Bautizo
112039149|112039149|112039149_000001|Expedientes para la rectificación de bautismos 2010 - DGS(112039149)|Expedientes para la rectificación de bautismos 2010 - DGS(112039149)|ES|Español|2010/2010|Diócesis del Callao, Perú|Bautizo||Bautizo
112039429|112039429|112039429_000001|Expedientes para la rectificación de bautismos 2010 - DGS(112039429)|Expedientes para la rectificación de bautismos 2010 - DGS(112039429)|ES|Español|2010/2010|Diócesis del Callao, Perú|Bautizo||Bautizo
112039508|112039508|112039508_000001|Expedientes para la rectificación de bautismos 2010 - DGS(112039508)|Expedientes para la rectificación de bautismos 2010 - DGS(112039508)|ES|Español|2010/2010|Diócesis del Callao, Perú|Bautizo||Bautizo
112040735|112040735|112040735_000001|Bautismos 1778 - DGS(112040735)|Bautismos 1778 - DGS(112040735)|ES|Español|1778/1778|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|1|Bautizo
112040762|112040762|112040762_000001|Bautismos 1781 - DGS(112040762)|Bautismos 1781 - DGS(112040762)|ES|Español|1781/1781|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|1B|Bautizo
112040917|112040917|112040917_000001|Bautismos 1819 - DGS(112040917)|Bautismos 1819 - DGS(112040917)|ES|Español|1819/1819|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|2|Bautizo
112041035|112041035|112041035_000001|Bautismos 1833 - DGS(112041035)|Bautismos 1833 - DGS(112041035)|ES|Español|1833/1833|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|3|Bautizo
112041275|112041275|112041275_000001|Bautismos 1842 - DGS(112041275)|Bautismos 1842 - DGS(112041275)|ES|Español|1842/1842|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|4|Bautizo
112041375|112041375|112041375_000001|Bautismos 1849 - DGS(112041375)|Bautismos 1849 - DGS(112041375)|ES|Español|1849/1849|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|5|Bautizo
112041698|112041698|112041698_000001|Bautismos 1852 - DGS(112041698)|Bautismos 1852 - DGS(112041698)|ES|Español|1852/1852|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|6|Bautizo
112041750|112041750|112041750_000001|Bautismos 1854 - DGS(112041750)|Bautismos 1854 - DGS(112041750)|ES|Español|1854/1854|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|7|Bautizo
112042162|112042162|112042162_000001|Bautismos 1856 - DGS(112042162)|Bautismos 1856 - DGS(112042162)|ES|Español|1856/1856|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|8|Bautizo
112042475|112042475|112042475_000001|Bautismos 1858 - DGS(112042475)|Bautismos 1858 - DGS(112042475)|ES|Español|1858/1858|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|9|Bautizo
112042541|112042541|112042541_000001|Bautismos 1861 - DGS(112042541)|Bautismos 1861 - DGS(112042541)|ES|Español|1861/1861|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|10|Bautizo
112042861|112042861|112042861_000001|Bautismos 1864 - DGS(112042861)|Bautismos 1864 - DGS(112042861)|ES|Español|1864/1864|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|11|Bautizo
112210199|112210199|112210199_000001|Defunciones parroquiales 1969 - DGS(112210199)|Defunciones parroquiales 1969 - DGS(112210199)|ES|Español|1969/1969|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|33|Defunción
112211181|112211181|112211181_000001|Defunciones parroquiales 1908 - DGS(112211181)|Defunciones parroquiales 1908 - DGS(112211181)|ES|Español|1908/1908|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|14|Defunción
112211373|112211373|112211373_000001|Defunciones parroquiales 1906 - DGS(112211373)|Defunciones parroquiales 1906 - DGS(112211373)|ES|Español|1906/1906|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|13|Defunción
112211770|112211770|112211770_000001|Defunciones parroquiales - DGS(112211770)|Defunciones parroquiales - DGS(112211770)|ES|Español|1899/1899|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|12|Defunción
112211837|112211837|112211837_000001|Defunciones parroquiales 1879 - DGS(112211837)|Defunciones parroquiales 1879 - DGS(112211837)|ES|Español|1879/1879|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|8|Defunción
112211912|112211912|112211912_000001|Defunciones parroquiales 1885 - DGS(112211912)|Defunciones parroquiales 1885 - DGS(112211912)|ES|Español|1885/1885|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|10|Defunción
112211996|112211996|112211996_000001|Defunciones parroquiales 1872 - DGS(112211996)|Defunciones parroquiales 1872 - DGS(112211996)|ES|Español|1872/1872|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|6|Defunción
112212346|112212346|112212346_000001|Defunciones parroquiales 1868 - DGS(112212346)|Defunciones parroquiales 1868 - DGS(112212346)|ES|Español|1868/1868|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|5|Defunción
112212388|112212388|112212388_000001|Defunciones parroquiales 1861 - DGS(112212388)|Defunciones parroquiales 1861 - DGS(112212388)|ES|Español|1861/1861|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|4|Defunción
112212401|112212401|112212401_000001|Defunciones parroquiales 1857 - DGS(112212401)|Defunciones parroquiales 1857 - DGS(112212401)|ES|Español|1857/1857|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|3|Defunción
112212486|112212486|112212486_000001|Expedientes para la inscripción tardía de bautismos 1989 - DGS(112212486)|Expedientes para la inscripción tardía de bautismos 1989 - DGS(112212486)|ES|Español|1989/1989|Diócesis del Callao, Perú|Bautizo||Bautizo
112212603|112212603|112212603_000001|Expedientes para la inscripción tardía de bautismos 1987 - DGS(112212603)|Expedientes para la inscripción tardía de bautismos 1987 - DGS(112212603)|ES|Español|1987/1987|Diócesis del Callao, Perú|Bautizo||Bautizo
112212737|112212737|112212737_000001|Expedientes para la inscripción tardía de bautismos 1986 - DGS(112212737)|Expedientes para la inscripción tardía de bautismos 1986 - DGS(112212737)|ES|Español|1986/1986|Diócesis del Callao, Perú|Bautizo||Bautizo
112212998|112212998|112212998_000001|Expedientes para la inscripción tardía de bautismos 1991 - DGS(112212998)|Expedientes para la inscripción tardía de bautismos 1991 - DGS(112212998)|ES|Español|1991/1991|Diócesis del Callao, Perú|Bautizo||Bautizo
112213386|112213386|112213386_000001|Expedientes para la inscripción tardía de bautismos 1985 - DGS(112213386)|Expedientes para la inscripción tardía de bautismos 1985 - DGS(112213386)|ES|Español|1985/1985|Diócesis del Callao, Perú|Bautizo||Bautizo
112213653|112213653|112213653_000001|Expedientes para la inscripción tardía de bautismos 1982 - DGS(112213653)|Expedientes para la inscripción tardía de bautismos 1982 - DGS(112213653)|ES|Español|1982/1982|Diócesis del Callao, Perú|Bautizo||Bautizo
112213884|112213884|112213884_000001|Expedientes para la inscripción tardía de bautismos 1981 - DGS(112213884)|Expedientes para la inscripción tardía de bautismos 1981 - DGS(112213884)|ES|Español|1981/1981|Diócesis del Callao, Perú|Bautizo||Bautizo
112214317|112214317|112214317_000001|Defunciones parroquiales 1953 - DGS(112214317)|Defunciones parroquiales 1953 - DGS(112214317)|ES|Español|1953/1953|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|36|Defunción
112214911|112214911|112214911_000001|Defunciones parroquiales 1950 - DGS(112214911)|Defunciones parroquiales 1950 - DGS(112214911)|ES|Español|1950/1950|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|35|Defunción
112214939|112214939|112214939_000001|Defunciones parroquiales 1945 - DGS(112214939)|Defunciones parroquiales 1945 - DGS(112214939)|ES|Español|1945/1945|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|34|Defunción
112215032|112215032|112215032_000001|Defunciones parroquiales 1832 - DGS(112215032)|Defunciones parroquiales 1832 - DGS(112215032)|ES|Español|1832/1832|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|1|Defunción
112215143|112215143|112215143_000001|Defunciones parroquiales - DGS(112215143)|Defunciones parroquiales - DGS(112215143)|ES|Español|1850/1850|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunción|2|Defunción
112215455|112215455|112215455_000001|Bautismos 1965 - DGS(112215455)|Bautismos 1965 - DGS(112215455)|ES|Español|1965/1965|Santa Rosa, Callao, Callao, Perú|Bautizo|64|Bautizo
112215916|112215916|112215916_000001|Bautismos 1965 - DGS(112215916)|Bautismos 1965 - DGS(112215916)|ES|Español|1965/1965|Santa Rosa, Callao, Callao, Perú|Bautizo|63|Bautizo
112216316|112216316|112216316_000001|Bautismos 1964 - DGS(112216316)|Bautismos 1964 - DGS(112216316)|ES|Español|1964/1964|Santa Rosa, Callao, Callao, Perú|Bautizo|62|Bautizo
112216438|112216438|112216438_000001|Bautismos 1964 - DGS(112216438)|Bautismos 1964 - DGS(112216438)|ES|Español|1964/1964|Santa Rosa, Callao, Callao, Perú|Bautizo|61|Bautizo
112216557|112216557|112216557_000001|Bautismos 1963 - DGS(112216557)|Bautismos 1963 - DGS(112216557)|ES|Español|1963/1963|Santa Rosa, Callao, Callao, Perú|Bautizo|60|Bautizo
112216942|112216942|112216942_000001|Bautismos 1962 - DGS(112216942)|Bautismos 1962 - DGS(112216942)|ES|Español|1962/1962|Santa Rosa, Callao, Callao, Perú|Bautizo|59|Bautizo
112217243|112217243|112217243_000001|Bautismos 1962 - DGS(112217243)|Bautismos 1962 - DGS(112217243)|ES|Español|1962/1962|Santa Rosa, Callao, Callao, Perú|Bautizo|58|Bautizo
112217429|112217429|112217429_000001|Bautismos 1961 - DGS(112217429)|Bautismos 1961 - DGS(112217429)|ES|Español|1961/1961|Santa Rosa, Callao, Callao, Perú|Bautizo|57|Bautizo
112217585|112217585|112217585_000001|Bautismos 1968 - DGS(112217585)|Bautismos 1968 - DGS(112217585)|ES|Español|1968/1968|Santa Rosa, Callao, Callao, Perú|Bautizo|70|Bautizo
112217667|112217667|112217667_000001|Bautismos 1969 - DGS(112217667)|Bautismos 1969 - DGS(112217667)|ES|Español|1969/1969|Santa Rosa, Callao, Callao, Perú|Bautizo|71|Bautizo
112217754|112217754|112217754_000001|Bautismos 1969 - DGS(112217754)|Bautismos 1969 - DGS(112217754)|ES|Español|1969/1969|Santa Rosa, Callao, Callao, Perú|Bautizo|72|Bautizo
112217935|112217935|112217935_000001|Bautismos 1970 - DGS(112217935)|Bautismos 1970 - DGS(112217935)|ES|Español|1970/1970|Santa Rosa, Callao, Callao, Perú|Bautizo|73|Bautizo
112218039|112218039|112218039_000001|Bautismos 1971 - DGS(112218039)|Bautismos 1971 - DGS(112218039)|ES|Español|1971/1971|Santa Rosa, Callao, Callao, Perú|Bautizo|74|Bautizo
112218247|112218247|112218247_000001|Bautismos 1965 - DGS(112218247)|Bautismos 1965 - DGS(112218247)|ES|Español|1965/1965|Santa Rosa, Callao, Callao, Perú|Bautizo|65|Bautizo
112218681|112218681|112218681_000001|Bautismos 1966 - DGS(112218681)|Bautismos 1966 - DGS(112218681)|ES|Español|1966/1966|Santa Rosa, Callao, Callao, Perú|Bautizo|66|Bautizo
112218876|112218876|112218876_000001|Bautismos 1966 - DGS(112218876)|Bautismos 1966 - DGS(112218876)|ES|Español|1966/1966|Santa Rosa, Callao, Callao, Perú|Bautizo|67|Bautizo
112219059|112219059|112219059_000001|Bautismos 1967 - DGS(112219059)|Bautismos 1967 - DGS(112219059)|ES|Español|1967/1967|Santa Rosa, Callao, Callao, Perú|Bautizo|68|Bautizo
112219231|112219231|112219231_000001|Bautismos 1968 - DGS(112219231)|Bautismos 1968 - DGS(112219231)|ES|Español|1968/1968|Santa Rosa, Callao, Callao, Perú|Bautizo|69|Bautizo
112219470|112219470|112219470_000001|Bautismos 1961 - DGS(112219470)|Bautismos 1961 - DGS(112219470)|ES|Español|1961/1961|Santa Rosa, Callao, Callao, Perú|Bautizo|56|Bautizo
112219560|112219560|112219560_000001|Bautismos 1960 - DGS(112219560)|Bautismos 1960 - DGS(112219560)|ES|Español|1960/1960|Santa Rosa, Callao, Callao, Perú|Bautizo|55|Bautizo
112219577|112219577|112219577_000001|Bautismos 1960 - DGS(112219577)|Bautismos 1960 - DGS(112219577)|ES|Español|1960/1960|Santa Rosa, Callao, Callao, Perú|Bautizo|54|Bautizo
112219630|112219630|112219630_000001|Bautismos 1959 - DGS(112219630)|Bautismos 1959 - DGS(112219630)|ES|Español|1959/1959|Santa Rosa, Callao, Callao, Perú|Bautizo|53|Bautizo
112219674|112219674|112219674_000001|Bautismos 1959 - DGS(112219674)|Bautismos 1959 - DGS(112219674)|ES|Español|1959/1959|Santa Rosa, Callao, Callao, Perú|Bautizo|52|Bautizo
112219737|112219737|112219737_000001|Bautismos 1958 - DGS(112219737)|Bautismos 1958 - DGS(112219737)|ES|Español|1958/1958|Santa Rosa, Callao, Callao, Perú|Bautizo|51|Bautizo
112219822|112219822|112219822_000001|Bautismos 1958 - DGS(112219822)|Bautismos 1958 - DGS(112219822)|ES|Español|1958/1958|Santa Rosa, Callao, Callao, Perú|Bautizo|50|Bautizo
112220129|112220129|112220129_000001|Bautismos 1957 - DGS(112220129)|Bautismos 1957 - DGS(112220129)|ES|Español|1957/1957|Santa Rosa, Callao, Callao, Perú|Bautizo|49|Bautizo
