uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
112220516|112220516|112220516_000001|Informaciones matrimoniales_1956,12-9 - DGS(112220516)|Informaciones matrimoniales_1956,12-9 - DGS(112220516)|ES|Español|1956|Santa Rosa, Callao, Callao, Perú|Informaciones matrimoniales|12-9|Informaciones matrimoniales-16 oct 1955—19 feb 1956|
112220534|112220534|112220534_000001|Informaciones matrimoniales_1955,12-8 - DGS(112220534)|Informaciones matrimoniales_1955,12-8 - DGS(112220534)|ES|Español|1955|Santa Rosa, Callao, Callao, Perú|Informaciones matrimoniales|12-8|Informaciones matrimoniales-7 abr 1955—16 oct 1955|
112220553|112220553|112220553_000001|Informaciones matrimoniales_1955,12-7 - DGS(112220553)|Informaciones matrimoniales_1955,12-7 - DGS(112220553)|ES|Español|1955|Santa Rosa, Callao, Callao, Perú|Informaciones matrimoniales|12-7|Informaciones matrimoniales-8 nov 1954—5 may 1955|
112220599|112220599|112220599_000001|Informaciones matrimoniales_1954,12-6 - DGS(112220599)|Informaciones matrimoniales_1954,12-6 - DGS(112220599)|ES|Español|1954|Santa Rosa, Callao, Callao, Perú|Informaciones matrimoniales|12-6|Informaciones matrimoniales-28 jul 1954—25 dic 1954|
112220627|112220627|112220627_000001|Confirmaciones_1936,Vol 1 - DGS(112220627)|Confirmaciones_1936,Vol 1 - DGS(112220627)|ES|Español|1936|Santa Rosa, Callao, Callao, Perú|Confirmaciones|Vol 1|Confirmaciones-1927—1936|
112220667|112220667|112220667_000001|Bautismos_1868,Vol 13 - DGS(112220667)|Bautismos_1868,Vol 13 - DGS(112220667)|ES|Español|1868|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 13|Bautismos-1867—1868|
112220692|112220692|112220692_000001|Bautismos_1869,Vol 14 - DGS(112220692)|Bautismos_1869,Vol 14 - DGS(112220692)|ES|Español|1869|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 14|Bautismos-1869|
112220743|112220743|112220743_000001|Bautismos_1870,Vol 15 - DGS(112220743)|Bautismos_1870,Vol 15 - DGS(112220743)|ES|Español|1870|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 15|Bautismos-1869—1870|
112220750|112220750|112220750_000001|Bautismos_1872,Vol 16 - DGS(112220750)|Bautismos_1872,Vol 16 - DGS(112220750)|ES|Español|1872|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 16|Bautismos-1870—1872|
112220924|112220924|112220924_000001|Bautismos_1875,Vol 17 - DGS(112220924)|Bautismos_1875,Vol 17 - DGS(112220924)|ES|Español|1875|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 17|Bautismos-1872—1875|
112221206|112221206|112221206_000001|Bautismos_1951,Vol 73 - DGS(112221206)|Bautismos_1951,Vol 73 - DGS(112221206)|ES|Español|1951|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 73|Bautismos-1951|
112221411|112221411|112221411_000001|Bautismos_1951,Vol 72 - DGS(112221411)|Bautismos_1951,Vol 72 - DGS(112221411)|ES|Español|1951|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 72|Bautismos-1950—1951|
112221786|112221786|112221786_000001|Bautismos_1950,Vol 71 - DGS(112221786)|Bautismos_1950,Vol 71 - DGS(112221786)|ES|Español|1950|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 71|Bautismos-1949—1950|
112222390|112222390|112222390_000001|Bautismos_1949,Vol 70 - DGS(112222390)|Bautismos_1949,Vol 70 - DGS(112222390)|ES|Español|1949|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 70|Bautismos-1949|
112222818|112222818|112222818_000001|Bautismos_1949,Vol 69 - DGS(112222818)|Bautismos_1949,Vol 69 - DGS(112222818)|ES|Español|1949|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 69|Bautismos-1948—1949|
112222988|112222988|112222988_000001|Bautismos_1948,Vol 68 - DGS(112222988)|Bautismos_1948,Vol 68 - DGS(112222988)|ES|Español|1948|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 68|Bautismos-1947—1948|
112223066|112223066|112223066_000001|Bautismos_1947,Vol 67 - DGS(112223066)|Bautismos_1947,Vol 67 - DGS(112223066)|ES|Español|1947|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautismos|Vol 67|Bautismos-1946—1947|
