uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
106549642|106549642|106549642_000001|Matrimonios_21_25 oct 1997–28 ene 2012,Vol 21 - DGS(106549642)|Matrimonios_21_25 oct 1997–28 ene 2012,Vol 21 - DGS(106549642)|ES|Español|2008|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 21|Matrimonios parroquiales-1997—2008|
106549643|106549643|106549643_000001|Matrimonios_22_3 mar 2012–11 may 2019,Vol 22 - DGS(106549643)|Matrimonios_22_3 mar 2012–11 may 2019,Vol 22 - DGS(106549643)|ES|Español|2016|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 22|Matrimonios parroquiales-2012—2016|
106549644|106549644|106549644_000001|Matrimonios_1S_22 dic 1981–16 may 1982,1S - DGS(106549644)|Matrimonios_1S_22 dic 1981–16 may 1982,1S - DGS(106549644)|ES|Español|1982|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|1S|Matrimonios parroquiales-1981—1982|
106549645|106549645|106549645_000001|Matrimonios_1_17 jul 1982–10 dic 2016,Vol 1 - DGS(106549645)|Matrimonios_1_17 jul 1982–10 dic 2016,Vol 1 - DGS(106549645)|ES|Español|2016|Immaculada Concepció, Villanueva y Geltrú, Barcelona, Cataluña, España|Matrimonios parroquiales|Vol 1|Matrimonios parroquiales-jul 1982—dic 2016|
106549646|106549646|106549646_000001|Matrimonios_2_17 dic 2016–22 dic 2018,Vol 2 - DGS(106549646)|Matrimonios_2_17 dic 2016–22 dic 2018,Vol 2 - DGS(106549646)|ES|Español|2018|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 2|Matrimonios parroquiales-dic 2016—dic 2018|
106549870|106549870|106549870_000001|Bautismos_1_21 may 1964–11 feb 1984,Vol 1 - DGS(106549870)|Bautismos_1_21 may 1964–11 feb 1984,Vol 1 - DGS(106549870)|ES|Español|1984|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 1|Bautismos-1964—1984|
106549871|106549871|106549871_000001|Bautismos_2_4 jun 1982–9 ago 1994,Vol 2 - DGS(106549871)|Bautismos_2_4 jun 1982–9 ago 1994,Vol 2 - DGS(106549871)|ES|Español|1994|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 2|Bautismos-jun 1982—sept 1994|
106549872|106549872|106549872_000001|Bautismos_3_13 ago 1994–31 dic 1996,Vol 3 - DGS(106549872)|Bautismos_3_13 ago 1994–31 dic 1996,Vol 3 - DGS(106549872)|ES|Español|1996|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 3|Bautismos-ago 1994—dic 1996|
106549873|106549873|106549873_000001|Bautismos_4_31 dic 1996–6 dic 2003,Vol 4 - DGS(106549873)|Bautismos_4_31 dic 1996–6 dic 2003,Vol 4 - DGS(106549873)|ES|Español|2003|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 4|Bautismos-1996—2003|
106549874|106549874|106549874_000001|Bautismos_5_6 dic 2003–7 jun 2008,Vol 5 - DGS(106549874)|Bautismos_5_6 dic 2003–7 jun 2008,Vol 5 - DGS(106549874)|ES|Español|2008|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 5|Bautismos-2003—2008|
