EID,Property Name,Brand ID,Brand Name,Active / Inactive,Deleted
106220446,Mamo Florence - Baldovini Apartment,11896,VR_PM Etesian,TRUE,FALSE
110731730,Mamo Florence - Leopoldo Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558775,Mamo Florence - Cittadella Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558741,Mamo Florence - Maruffi Apartment,11896,VR_PM Etesian,TRUE,FALSE
118233804,Oricellari Apartment by Mamo Florence,11896,VR_PM Etesian,TRUE,FALSE
108558760,Mamo Florence - Santa Croce Loft Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220444,Mamo Florence - Aleardi Roof Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712588,Mamo Florence - Zalinda Aparment,11896,VR_PM Etesian,TRUE,FALSE
108558713,Mamo Florence - Borgo Santa Croce Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558725,Mamo Florence - Diciotto Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558766,Mamo Florence - Sprone Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558734,Mamo Florence - La Galerie Luxury Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905230,Mamo Florence - Dado Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558715,Mamo Florence - Casper Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558752,Mamo Florence - Proconsolo Bargello Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905222,Mamo Florence -  Bargello Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558723,Mamo Florence - Dei Neri Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905251,Mamo Florence - Oleandro Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905241,Mamo Florence - Il Moro Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905232,Mamo Florence – David & Buonarroti Apartments,11896,VR_PM Etesian,TRUE,FALSE
108558726,Mamo Florence - Dimora Ognissanti Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712591,Salterelli Apartments by Mamo Florence,11896,VR_PM Etesian,TRUE,FALSE
108558701,Mamo Florence - Agnolo Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712586,Mamo Florence - Vigna Vecchia Studio,11896,VR_PM Etesian,TRUE,FALSE
110305172,Mamo Florence - Donatello Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558732,Mamo Florence - Khione Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220458,Mamo Florence - Geordie Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905258,Mamo Florence - St. Elizabeth Tower Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712581,Mamo Florence - San Lorenzo Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905244,Mamo Florence - Mattonaia Apartment,11896,VR_PM Etesian,TRUE,FALSE
110300722,Mamo Florence - Indipendenza Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558696,Mamo Florence - Le Farine della Signoria Apartments,11896,VR_PM Etesian,FALSE,FALSE
107712579,Mamo Florence - Pisana Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220454,Mamo Florence - Fiorenza Historical Apartment,11896,VR_PM Etesian,TRUE,FALSE
10478351,Mamo Florence Apartments,11896,VR_PM Etesian,FALSE,FALSE
107712568,Mamo Florence - Le Farine Della Signoria Apartments,11896,VR_PM Etesian,TRUE,FALSE
