Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
101340650,Talisma Apartment,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454726,M274 Le Bianche Apartment 4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101453606,Olivemill Apt Private Jacuzzi Outside,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101442245,M519 Villa Scianuli,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101466051,Verde Giada,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101502246,M154 Villetta Arancio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101502244,M152 Villetta Tamari,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454428,M662 Sunny House Bilo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101442238,M244 Villetta Punta Grossa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101495287,Studio Apartment Iva,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101466053,M237 Torre Lapillo Apartment,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101458597,Comfortable Apartment in Firenze-Careggi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101329475,Dogliani Borgo Castello,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101457626,M159 Villetta Del Capitano,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454718,Garda View,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101466055,M707 Villa Erika,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101340652,Family Villa Paola with Pool in Chianti,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101461113,Beautiful Villa With Private Spa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101516304,Blu Oltremare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454425,M590 Masseria Relais Saraceno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454424,M580 Villa Delle Meraviglie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101325805,Il Rifugio - Town Center,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454423,M520 Villa Neruda,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101442744,Laigueglia Holidays - 200m From Sea,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454427,M595 Tenuta Bouganville,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101458595,M199 Villetta Rossa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454724,M273 Le Bianche Apartment 3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101454432,M663 Sunny House Trilo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101453605,Elegant Apt With Shared Pool And Garden,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
57735022,Menaggio Fronte Lago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101456680,Beachfront Santa Maria 2 Room 201,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101454076,Beachfront Santa Maria 2 Penthouse,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101340651,Darma's House,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101329947,Modern Holiday House Jadranka With Pool,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101456688,Beachfront Santa Maria 2 Room 202,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101456687,Beachfront Santa Maria 2 Apartment 4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101456684,Beachfront Santa Maria 2 Apartment 3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101340649,Beachfront Santa Maria 2 Apartment 2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101368363,Villa Lugi Kael,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
