Provider,Provider Property ID,Expedia ID,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
NextPax,999226941,127989112,guestreadyportugal,GuestReady - amma Braga Apartments,PRT,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for NextPax Property Id: 999226941, Expedia Property Id: 127989112, Correlation Id: e81f75ac-cc07-4c16-991e-062fa61dbeb9 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-015, Message 41130046 - Supplier name does not exist. and has propertyEventReasonCode InvalidProperty, Finance profile is not configured. Please work with Expedia support to address this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextPax,999226951,127989344,guestreadyspain,GuestReady - Casa Palacio De La Cruz,ESP,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for NextPax Property Id: 999226951, Expedia Property Id: 127989344, Correlation Id: 465508e7-74e1-4d55-a1ff-352d932a3e8a because of property missing Supplier Finance contract details. ErrorCode: POA-WS-015, Message 41130048 - Supplier name does not exist. and has propertyEventReasonCode InvalidProperty, Finance profile is not configured. Please work with Expedia support to address this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextPax,65311233,127745516,pricemorganvacationrentalsllc,Seychelles 1207 (1/2),USA,OnboardingSucceeded,,,TRUE,TRUE,N/A,TRUE,6,50,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
NextPax,65311226,127648976,iTripFortMyersBeach,5241 SW 2nd PL,USA,OnboardingSucceeded,,,FALSE,FALSE,N/A,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
NextPax,999213578,127989507,guestreadyspain,GuestReady - ariqus Apartments,ESP,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for NextPax Property Id: 999213578, Expedia Property Id: 127989507, Correlation Id: d9ee1b58-349b-450a-9c7d-3880154a3a06 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-015, Message 41130047 - Supplier name does not exist. and has propertyEventReasonCode InvalidProperty, Finance profile is not configured. Please work with Expedia support to address this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextPax,65533008,,beachhavenstays,One Bedroom Condo,USA,OnboardingFailed,Duplicated,"Property 65533008 from property-api is marked as duplicate because you have provided another property 65531948 which appears to be the same with EID: 119797191. If you think this is an error, please contact your Connectivity Account Manager. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
