Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
111399233,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110721237,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111344696,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111455416,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111454620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110848995,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110848910,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721662,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721374,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721354,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
111399062,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111398823,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110721518,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721485,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721921,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721727,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721537,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
110721300,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
