Property Id,System Id,API Type,API Client UUID,Created Date
39129014,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
33746441,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,3/31/21 23:27
50545098,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 09:24
27426665,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,12/11/20 05:35
44970467,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
27426665,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/6/21 00:04
38917028,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 01:57
31941031,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
5236357,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 09:05
102883456,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,7/29/24 18:04
22424570,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
45343574,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
35738673,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,2/28/22 08:09
55399123,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 09:24
45843669,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
33746588,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
42004625,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
33746441,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
29769390,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,12/11/20 05:35
94178684,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,7/4/23 07:59
33746588,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,3/31/21 23:27
94178684,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,7/4/23 07:59
40102447,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 09:24
32564767,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,3/31/21 23:27
38917028,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
39129014,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
22785324,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/6/21 00:04
31941031,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 01:57
28067268,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/6/21 00:04
33746588,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 01:57
49130581,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
50545098,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
39947261,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
29473912,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
28067268,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,12/11/20 05:35
45398209,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
45343574,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
102883456,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,7/29/24 18:04
45249366,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
45398209,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 09:25
35738673,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,2/28/22 08:09
30403500,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
33746441,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 01:57
22785324,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
22424570,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/6/21 00:04
27487852,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/6/21 00:04
55399123,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
45843669,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
49095709,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
29769390,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/6/21 00:04
94178684,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,7/4/23 07:59
49130776,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/7/21 06:52
27191487,1137,PRODUCT_READONLY,ab649aaa-541e-4636-9402-db1e7fd12153,9/24/21 07:36
33377114,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 01:57
32564767,1137,AR,ab649aaa-541e-4636-9402-db1e7fd12153,11/11/20 01:57
20208466,1137,BR,ab649aaa-541e-4636-9402-db1e7fd12153,4/6/21 00:04
