Provider,Provider Property ID,Expedia ID,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
RentalsUnited,3231309,83962982,AvantStay,Chesney & Rhett by AvantStay | Sleeps 20! Spacious Home w/ Southern Flare,USA,OnboardingSucceeded,,,False,False,N/A,TRUE,6,18,TRUE,13,13,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,337
RentalsUnited,3232735,84023432,AvantStay,Shelton & Urban by AvantStay | Sleeps 20! 2 Unit Buyout! Spacious Design,USA,OnboardingSucceeded,,,False,False,N/A,TRUE,6,23,TRUE,13,13,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,365
