Provider,Provider Property ID,Expedia ID,,Property Manager,Name,,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
EQCStays,mmtp-NB01I,124590904,0018b00002W2tYiAAJ,Holistays,"3B/2B BEST Location, Private Pool, Indian Wells",,USA,OnboardingSucceeded,,,TRUE,TRUE,N/A,TRUE,6,21,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EI09J,124438558,0018b00002W2tYiAAJ,SEAZONE,2-bedroom apt with barbecue near the beach JCA0001,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,20,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EW08J,124487640,0018b00002W2tYiAAJ,SEAZONE,Complete Studios in Perdizes - CEP,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,13,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-EZ02J,124528408,0018b00002W2tYiAAJ,SEAZONE,Apts in Condo w/ Pool 400 m from the Beach - EDT,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,24,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,4,TRUE,1,1
EQCStays,ssl-DU05J,124437755,0018b00002W2tYiAAJ,SEAZONE,Modern apt in Sudoeste w/ A/C & Wi-Fi | CLS0101,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,9,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,150
EQCStays,ssl-EU01J,124439651,0018b00002W2tYiAAJ,SEAZONE,Romantic cabin near Florianopolis VST041,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,22,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-DD12J,124416224,0018b00002W2tYiAAJ,SEAZONE,3-Bedroom Apt and Ocean View EDI0302,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,22,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-CV16J,124437392,0018b00002W2tYiAAJ,SEAZONE,2 bdrm apt 250m from the beach in center SDC0601,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,22,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-ET02J,124417994,0018b00002W2tYiAAJ,SEAZONE,Houses in Gated Community with Pool and BBQ Area - PCR,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,38,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,4,TRUE,1,1
EQCStays,ssl-YD03I,124385779,0018b00002W2tYiAAJ,SEAZONE,Complete Studio 850m from the Beach |RCX1105,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,6,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-DE13J,124616989,0018b00002W2tYiAAJ,SEAZONE,Studio in Condo w/ Pool and Gym CUO0114,,BRA,OnboardingSucceeded,,,FALSE,FALSE,TRUE,TRUE,6,8,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,FALSE,1,0
EQCStays,ssl-EG08J,124439081,0018b00002W2tYiAAJ,SEAZONE,ELB0203 Apto c/ Hidromassagem em Coqueiros,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,8,N/A,,,,N/A,TRUE,TRUE,TRUE,FALSE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-EZ03J,124534327,0018b00002W2tYiAAJ,SEAZONE,Apartments just 650 meters from Praia dos Ingleses beach - NIUs,,BRA,OnboardingSucceeded,,,FALSE,FALSE,TRUE,TRUE,6,10,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,FALSE,1,0
EQCStays,ssl-EJ02J,124543735,0018b00002W2tYiAAJ,SEAZONE,House w/ terrace & BBQ 850m from the beach JSF0748,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,21,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EW07J,124489415,0018b00002W2tYiAAJ,SEAZONE,Studios in Building w/ Pool and Gym - JDNs,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,9,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EI01J,124491362,0018b00002W2tYiAAJ,SEAZONE,"Apt w/ balcony steps from the sea, Ilheus ERW0301",,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,11,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,rbm-ET01J,124412228,0018b00002W2tYiAAJ,CARPEDIEMHOMESBR,Cupe Living #323 | Duplex in Ipojuca by Carpediem,,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,30,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-DE04J,124376991,0018b00002W2tYiAAJ,SEAZONE,Apt with Barbecue 200m from the Beach PTC1304,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,24,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-DX12J,124411414,0018b00002W2tYiAAJ,SEAZONE,3-Bedroom Apt 400m from the Beach MDV0602,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,8,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EF01J,124794972,0018b00002W2tYiAAJ,SEAZONE,"Studio in center of Rosa, rooftop w/ pool RSO0031",,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,4,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-UG03I,124920339,0018b00002W2tYiAAJ,SEAZONE,2-Bedroom Apt 200 m from the Beach JSL0902,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,FALSE,FALSE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,ssl-FH01J,124893367,0018b00002W2tYiAAJ,SEAZONE,Full Chalets in Floripa - SCJ,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,ssl-CZ08J,124777325,0018b00002W2tYiAAJ,SEAZONE,Apt in Condo w/ Pool 350m from the Beach PLL0004,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,18,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EW06J,124921560,0018b00002W2tYiAAJ,SEAZONE,Apt w/ balcony & BBQ 500 m from the sea RMP0102,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,rbm-FG01J,124875074,0018b00002W2tYiAAJ,CARPEDIEMHOMESBR,Beach Class Summer by Carpediem,,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,40,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-EW10J,124919771,0018b00002W2tYiAAJ,SEAZONE,Full Studio in Floripa SMU0201,,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,ssl-EG10J,124875836,0018b00002W2tYiAAJ,SEAZONE,Apt 260m from Mundo do Vapor DAL0417,,BRA,OnboardingSucceeded,,,FALSE,FALSE,TRUE,TRUE,6,10,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,rbm-BP01J,124485545,0018b00002W2tYiAAJ,CARPEDIEMHOMESBR,Unico Barra #1206 - Farol da Barra By Carpediem,,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,29,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-ET01J,124415580,0018b00002W2tYiAAJ,SEAZONE,Fully equipped apts with leisure minutes from the beach HFOs,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,23,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-EH02J,124408903,0018b00002W2tYiAAJ,SEAZONE,Beachfront Studios in Porto Seguro - OTX,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,47,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,TRUE,1,1
EQCStays,ssl-RY11I,124385891,0018b00002W2tYiAAJ,SEAZONE,Apartment with 2 suites and stunning view RCX1807,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,6,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,48
EQCStays,ssl-DX07J,124388084,0018b00002W2tYiAAJ,SEAZONE,2-Bedroom Apt 550m from the Beach CHV0102,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,11,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EP02J,124420396,0018b00002W2tYiAAJ,SEAZONE,Comfortable apartments in a prime location in Campeche CRAs,,BRA,OnboardingSucceeded,,,TRUE,FALSE,TRUE,FALSE,6,3,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-DQ18J,124412115,0018b00002W2tYiAAJ,SEAZONE,Romantic cabin with amazing view VST040,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,23,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,rbm-XT03I,124406649,0018b00002W2tYiAAJ,CARPEDIEMHOMESBR,Makani Beach #07 - Flat com piscina by Carpediem,,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,35,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-DK06J,124414768,0018b00002W2tYiAAJ,SEAZONE,"1-BR APT w/ BBQ, 800m from the Sea DFC0101",,BRA,OnboardingSucceeded,,,TRUE,FALSE,TRUE,FALSE,6,5,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EI07J,124391344,0018b00002W2tYiAAJ,SEAZONE,Apt w/ balcony steps from the beach - IDS0501,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,7,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EM13J,124406678,0018b00002W2tYiAAJ,SEAZONE,House w/ Barbecue 140m from the Beach SHD0071,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,13,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-CZ10J,124412235,0018b00002W2tYiAAJ,SEAZONE,"Equipped studio in Asa Norte, Brasilia DCI0214",,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,9,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,158
EQCStays,ssl-EI11J,124390578,0018b00002W2tYiAAJ,SEAZONE,"2 bedroom apt 350m fr the beach, BC center EAN0104",,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,9,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
