Provider,Provider Property ID,Expedia ID,Column1,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
EQCStays,ssl-JV08J,133971415,0018b00002W2tYiAAJ,SEAZONE,Ap w/ocean view in a cond. with pool SLI0601,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,9,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JV02J,133951064,0018b00002W2tYiAAJ,SEAZONE,Apt. in Condo. w/ Pool in Ondina SBZ0209,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,4,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,185
EQCStays,ssl-IO13J,133925610,0018b00002W2tYiAAJ,SEAZONE,Studio in bldg with gym in Bela Vista HMJ0509,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,22,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-IF02J,133950603,0018b00002W2tYiAAJ,SEAZONE,House w/ jacuzzi & mountain view RCN0000,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,8,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,1,102
EQCStays,ssl-HU02J,133925617,0018b00002W2tYiAAJ,SEAZONE,Studio in condo w/ pool in POA PUE0308,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,23,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-IA02J,133947392,0018b00002W2tYiAAJ,SEAZONE,Studio in Condo. w/ Sea View & Pool RGF0508,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,6,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssmt-MP01J,134124307,0010y00001crvCVAAY,MULTITEMPORADA,Skyline Comfort Club - Elegance - Penha/SC,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,37,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssmt-MK01J,134108821,0010y00001crvCVAAY,MULTITEMPORADA,Loft Campeche 500mt da Praia - Floripa,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,24,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JO03J,134226306,0018b00002W2tYiAAJ,SEAZONE,Apt. in Condo. w/ Pool in Barra ZNB0605,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,mmtp-MN04J,134223133,001PE00000WzqaMYAR,Holistays,8-bedroom house - ChampionsGate with pool.,USA,OnboardingSucceeded,,,TRUE,FALSE,N/A,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,ssl-GY14J,134101779,0018b00002W2tYiAAJ,SEAZONE,Apt with ocean view in cond with pool ORI1001,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,14,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JK21J,134116294,0018b00002W2tYiAAJ,SEAZONE,Studio in cond. with pool near the subway ISM0404,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,4,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-HR12J,134088588,0018b00002W2tYiAAJ,SEAZONE,Apart w/ Balcony in Condominium with Pool VDP0000,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,17,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-FU02J,134088544,0018b00002W2tYiAAJ,SEAZONE,"Ap with Jacuzzi and sea view in Ilheus, BA CDW0102",BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,14,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,FALSE,1,0
EQCStays,ssl-JD06J,134088540,0018b00002W2tYiAAJ,SEAZONE,Apt. in Condo. w/ Heated Pool SAK1138,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,5,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JI09J,134088539,0018b00002W2tYiAAJ,SEAZONE,Apt near the beach in Balneario Pereque VSR1003,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,11,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,mme-MO01J,134065906,0018b00002YQqmtAAD,MMEHospitalidade,Cond Azuk Patacho: Leisure and Beach by MME,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,42,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-JA03J,134088576,0018b00002W2tYiAAJ,SEAZONE,Studio with balcony in a cond. with pool GYR0305,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,15,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JJ03J,134088521,0018b00002W2tYiAAJ,SEAZONE,Ap w/ BBQ Grill 420m from Centro Beach GTO0501,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,4,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JT01J,133979264,0018b00002W2tYiAAJ,SEAZONE,Modern apartment in a cond. with gym HGR0101,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,10,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,181
EQCStays,ssl-JR02J,133971404,0018b00002W2tYiAAJ,SEAZONE,Studio steps from Vila Madalena Metro NOM1009,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,19,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JS03J,133976069,0018b00002W2tYiAAJ,SEAZONE,Studio in condo w/ pool and view RBN2106,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,13,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-IV02J,133951065,0018b00002W2tYiAAJ,SEAZONE,Ap w/ 2 air-conditioned suites Itacimirim LNV0003,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,21,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JS08J,133950623,0018b00002W2tYiAAJ,SEAZONE,Studio in Condo. w/ Pool & Coworking AZZ0305,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,11,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,190
EQCStays,ssl-JS07J,133947387,0018b00002W2tYiAAJ,SEAZONE,Spacious Apartment near Beto Carrero LAV0303,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,5,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,125
EQCStays,ssl-JD02J,133947354,0018b00002W2tYiAAJ,SEAZONE,Studio with balcony 7 min from the beach VTA0205,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,20,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,197
EQCStays,ssl-KQ02J,134226304,0018b00002W2tYiAAJ,SEAZONE,Studio in Condo. w/ AC in Setor Noroeste PZS0000,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,ssmt-MJ01J,134121527,0010y00001crvCVAAY,MULTITEMPORADA,Pousada Oasys Floripa - Florianopolis/SC,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,63,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
EQCStays,ssl-JJ02J,134114898,0018b00002W2tYiAAJ,SEAZONE,Apt. w/ Balcony & Sea View in Itapema SBN0701,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,14,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JI06J,134088522,0018b00002W2tYiAAJ,SEAZONE,Ap with sea view near the beach in Itapema ALX0803,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,15,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,1,177
EQCStays,ssl-JS02J,134088567,0018b00002W2tYiAAJ,SEAZONE,Spacious studio in a condominium with pool RBN2406,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,7,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JZ14J,134088543,0018b00002W2tYiAAJ,SEAZONE,Apt. w/ balcony in Condo. 500m from Beach LAN0204,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,10,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ftt-MO01J,134014793,0010y00001c3M0GAAU,FortalezaTemporada,Vista Mar Incrivel e Brisa na Praia  e 2 Quartos,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,TRUE,6,20,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-BV09J,133964823,0018b00002W2tYiAAJ,SEAZONE,Apart w/ BBC 230m from the Beach ZIO0301,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,4,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-JK09J,133947397,0018b00002W2tYiAAJ,SEAZONE,Studio w/ balcony in Arraial d'Ajuda IPE0001,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,11,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,1,190
EQCStays,ssl-HK04J,133947375,0018b00002W2tYiAAJ,SEAZONE,Apt. in Condo. w/ sea view and gym SIP0206,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,7,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-IU03J,133950568,0018b00002W2tYiAAJ,SEAZONE,House Morada das Nuvens in Urubici - ABA0000,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,18,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,171
EQCStays,ssl-JS10J,133947364,0018b00002W2tYiAAJ,SEAZONE,Spacious Apt. 50m from Jurere Beach DOI0204,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,17,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-GS05J,133928840,0018b00002W2tYiAAJ,SEAZONE,Modern Studio near US Consulate CJG0906,BRA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,24,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,187
