"Provider","Property Manager","Provider Property ID","Expedia ID","Name","Country Code","Public Code","Code","Reason Codes","Messages","In-process Time","Timestamp (UTC)","Onboarding Start (UTC)","Onboarding End (UTC)","Time to Onboard"
"RentalsUnited","Livily","4203399","126961405","Northshore Landing","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:34.006Z","2026-03-02T04:19:58.203Z","2026-03-02T04:20:34.006Z","00:00:35.8032559"
"RentalsUnited","Livily","4203387","126961406","North Tower 208","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:37.005Z","2026-03-02T04:19:58.382Z","2026-03-02T04:20:37.005Z","00:00:38.6232802"
"RentalsUnited","Livily","4203261","126961409","The Chasestone","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:37.005Z","2026-03-02T04:19:59.275Z","2026-03-02T04:20:37.005Z","00:00:37.7302195"
"RentalsUnited","Livily","4203274","126961407","The Oyster House - Pet Friendly! GOLF CART INCLUDED!","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:40.005Z","2026-03-02T04:19:59.473Z","2026-03-02T04:20:40.005Z","00:00:40.5326889"
"RentalsUnited","Livily","4203258","126961408","The Cozy Cottage - 10 Min From UNC","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:42.005Z","2026-03-02T04:19:59.837Z","2026-03-02T04:20:42.005Z","00:00:42.1686730"
"RentalsUnited","Livily","4203230","126961411","Stunning Ala Moana 2501","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:44.005Z","2026-03-02T04:20:01.241Z","2026-03-02T04:20:44.005Z","00:00:42.7640250"
"RentalsUnited","Livily","4203326","126961412","Two Tree Houses - Beehive & H20","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:38.007Z","2026-03-02T04:20:01.365Z","2026-03-02T04:20:38.007Z","00:00:36.6420593"
"RentalsUnited","Livily","4203215","126961410","Stunning, A+Location, WorkerFriendly, Washer, Pool","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:38.004Z","2026-03-02T04:20:01.807Z","2026-03-02T04:20:38.004Z","00:00:36.1974131"
"RentalsUnited","Livily","4203447","126961413","Hot Tub, WiFi & Pet-Friendly - Pilot Point","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T19:13:49.004Z","2026-03-02T04:20:02.335Z","2026-03-02T04:20:39.008Z","00:00:36.6733069"
"RentalsUnited","Livily","4203563","126961414","Cozy apartment by Pecan Park, Texoma Med, & More!","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:43.004Z","2026-03-02T04:20:03.677Z","2026-03-02T04:20:43.004Z","00:00:39.3278784"
"RentalsUnited","Livily","4203778","126961428","Baywatch 703","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:45.004Z","2026-03-02T04:20:09.13Z","2026-03-02T04:20:45.004Z","00:00:35.8749135"
"RentalsUnited","Livily","4203665","126961436","Hot Tub & WiFi - Hidden Chalet Red River Gorge, KY","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:53.004Z","2026-03-02T04:20:11.104Z","2026-03-02T04:20:53.004Z","00:00:41.9009870"
"RentalsUnited","Livily","4203871","126961435","Cnd830","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:52.005Z","2026-03-02T04:20:11.865Z","2026-03-02T04:20:52.005Z","00:00:40.1402725"
"RentalsUnited","Livily","4203916","126961437","Cop26360","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:52.007Z","2026-03-02T04:20:13.948Z","2026-03-02T04:20:52.007Z","00:00:38.0590154"
"RentalsUnited","Livily","4203981","126961438","Little Rascals Rambler","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:55.004Z","2026-03-02T04:20:15.962Z","2026-03-02T04:20:55.004Z","00:00:39.0424861"
"RentalsUnited","Livily","4204021","126961439","Location, Space, & Serenity Perfect Group Getaway!","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:57.005Z","2026-03-02T04:20:16.261Z","2026-03-02T04:20:57.005Z","00:00:40.7447542"
"RentalsUnited","Livily","4204116","126961440","Worker Friendly, KINGbed,Washer Dryer, A+Location, Wifi","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:54.004Z","2026-03-02T04:20:17.372Z","2026-03-02T04:20:54.004Z","00:00:36.6325986"
"RentalsUnited","Livily","4204068","126961441","Meyers Bay Sunset Lakefront Cottage in Fox Lake w/ Boat Pier","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:20:57.005Z","2026-03-02T04:20:20.825Z","2026-03-02T04:20:57.005Z","00:00:36.1809179"
"RentalsUnited","Livily","4204264","126961442","Mad510","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:04.005Z","2026-03-02T04:20:26.582Z","2026-03-02T04:21:04.005Z","00:00:37.4239243"
"RentalsUnited","Livily","4204343","126961443","WiFi & Hot Tub, Large Family - Climb On in RRG!","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:06.005Z","2026-03-02T04:20:28.492Z","2026-03-02T04:21:06.005Z","00:00:37.5130734"
"RentalsUnited","Livily","4204450","126961444","Mtd10333","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:06.006Z","2026-03-02T04:20:29.659Z","2026-03-02T04:21:06.006Z","00:00:36.3478453"
"RentalsUnited","Livily","4204375","126961445","N1 Amelia South","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:07.006Z","2026-03-02T04:20:30.492Z","2026-03-02T04:21:07.006Z","00:00:36.5143781"
"RentalsUnited","Livily","4204614","126961446","Emile Zola Peoria","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:09.006Z","2026-03-02T04:20:32.19Z","2026-03-02T04:21:09.006Z","00:00:36.8162359"
"RentalsUnited","Livily","4204704","126961447","Happy Hiker","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:12.006Z","2026-03-02T04:20:35.538Z","2026-03-02T04:21:12.006Z","00:00:36.4680489"
"RentalsUnited","Livily","4204697","126961448","Lakeside Bungalow","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T19:11:22.005Z","2026-03-02T04:20:36.087Z","2026-03-02T04:21:14.004Z","00:00:37.9175735"
