Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
110228855,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110228752,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110228747,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110229129,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110228985,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110228857,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110228856,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110228968,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110228894,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110228893,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110228858,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
110228750,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
