Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
110933592,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934865,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932406,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932374,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934735,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934676,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934631,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932290,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934519,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934385,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110931930,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110897643,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110897529,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110896317,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110894703,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933839,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933681,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872617,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872531,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872504,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933582,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933554,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872216,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872011,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932472,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110871926,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932470,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110871784,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110935283,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932328,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110869760,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934535,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932181,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934509,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932149,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934444,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932089,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934388,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934271,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110894598,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110894593,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933970,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872904,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934488,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932129,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934429,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932037,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932008,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110931984,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110931952,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934383,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934368,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934361,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110896438,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934305,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934281,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110894660,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110894615,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934223,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933613,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872561,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933323,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933305,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110933174,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872378,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110872031,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932637,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932568,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110871965,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932521,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110935497,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932426,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110870809,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932390,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110934847,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110870775,N/A,TRUE,N/A,TRUE,TRUE,TRUE
110932313,N/A,TRUE,N/A,TRUE,TRUE,TRUE
