Provider,Provider Property ID,Expedia ID,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
RentalsUnited,3815755,104846930,Sunny Aberdeen Rental w/ Deck: Golf Course Views!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815185,104626836,Schenectady Vacation Rental ~ 18 Mi to Albany!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,28,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,44
RentalsUnited,3816525,104931123,Modern Private Home in Walkable Austin w/ Basement,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,36,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815168,104626848,Vero Beach Home w/ Private Hot Tub Near Beaches!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,41,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,26
RentalsUnited,3816299,104892462,'Paradise Found' Lake House on Waterfront!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,37,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815138,104626850,South Euclid Apt < 10 Mi to Downtown Cleveland!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,27
RentalsUnited,3815762,104846932,Aberdeen Townhome in Southern Pines Golf Club!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816222,104892459,Updated Jacksonville Home < 1 Mi to St Johns River,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816282,104892457,Cozy Wisconsin Cabin: Walk to Beach & Boat Ramp!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816510,104931171,Cape Charles Home: Private Pier & Beach-Front Deck,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,40,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816154,104892451,Pet-Friendly Tampa Escape - 7 Mi to Busch Gardens!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815123,104626783,White Lake Vacation Rental - Walk to Lake Access!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,36
RentalsUnited,3816460,104931170,El Centro Retreat Near Local Parks & Golf Courses,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3101054,104892436,Pagosa Springs Condo w/ Mountain-View Deck,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,28,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816212,104892435,Milledgeville Home w/ Game Room & Private Dock!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,39,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816232,104892431,Spacious Shippensburg Home: 4 Mi to Tiny World!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,27,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816215,104892430,Pet-Friendly Bumpass Retreat Near Lake Anna!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,34,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816225,104892413,Stylish Kissimmee Home w/ Patio - Near Disney!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,33,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816288,104892409,"Wisconsin Farmhouse Stay: UTV, Boat, Snowmobile!",USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,29,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815812,104847259,Quiet Atkins Home w/ Porch - Near Arkansas River!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,26,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816468,104931157,Stunning Sapphire Cabin w/ Mountain Views & Deck,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,40,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816483,104931159,"Centerville Home, 12 Mi to Downtown Salt Lake City",USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,31,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815818,104847256,Beautiful Eliot Retreat w/ Fire Pit & Game Room!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,36,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815769,104847254,North Myrtle Beach Resort Apt - Walk to Beach!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,31,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816475,105095147,Pet-Friendly Irving Townhome w/ Patio + Grill!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,32,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816528,104931154,Stunning Morganton Cabin w/ Hot Tub & Mtn Views!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,36,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815805,104847249,Tuckasegee Home w/ Community Perks: 4 Mi to Lake!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,39,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816484,104931155,"Walkable Brigantine Condo, 4 Mi to Atlantic City!",USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,27,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816879,104953952,Sunny Kings Beach Retreat ~ 1 Mi to Lake Tahoe,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,26,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816517,104931153,Cozy Wooded Retreat Near Long Lake & Olympia,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815803,104847171,"Cozy Baiting Hollow Bungalow: Views, Walk to Beach",USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816515,104931148,Pet-Friendly Fort Pierce Home: 1 Mi to Downtown!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815207,104626865,Northeast Florida Home w/ Pond Views + Fire Pit!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,27,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,38
RentalsUnited,3816962,104953896,Spacious Spring Valley Home w/ Fenced Yard & Grill,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,35,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3815607,104847003,Roomy Largo Home w/ Screened Patio & Private Pool!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,29,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816529,104931138,Modern Aurora Apartment: 20 Mi to Downtown Denver,USA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,FALSE,1,0
RentalsUnited,3816880,104953890,Wilmington Home w/ Sunroom & Private Deck!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,27,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816545,104931133,Charming Galveston Cottage - 2 Blocks to Ocean!,USA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,FALSE,1,0
RentalsUnited,3815178,104626839,Cozy Tobyhanna Home w/ Lake Carobeth Access,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,30
RentalsUnited,3816466,104931128,Cozy Cedar Park Escape - 20 Mi to Downtown Austin!,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
RentalsUnited,3816487,104931124,Chic Family-Friendly Home in Riverside: 7 Mi to KC,USA,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,32,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
