uad      | dgs      | folder          | archive_reference                                                           | record_title                                                                | language_title| language| dates    | locality                                                                                                                   | record_type | volume   | event_type
106869798| 106869798| 106869798_000001| Bautismos 19 27 may 1925–30 sep 1931 - DGS(106869798)                       | Bautismos 19 27 may 1925–30 sep 1931 - DGS(106869798)                       | ES            | Español | 1931/1931| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 19       | Bautizo
106869799| 106869799| 106869799_000001| Bautismos 20 14 mar 1931–18 ago 1933 - DGS(106869799)                       | Bautismos 20 14 mar 1931–18 ago 1933 - DGS(106869799)                       | ES            | Español | 1935/1935| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 20       | Bautizo
106869800| 106869800| 106869800_000001| Bautismos 21 16 may 1935–11 mar 1952 - DGS(106869800)                       | Bautismos 21 16 may 1935–11 mar 1952 - DGS(106869800)                       | ES            | Español | 1952/1952| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 21       | Bautizo
106869801| 106869801| 106869801_000001| Bautismos 22 29 abr 1937–28 sep 1939 - DGS(106869801)                       | Bautismos 22 29 abr 1937–28 sep 1939 - DGS(106869801)                       | ES            | Español | 1939/1939| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 22       | Bautizo
106869802| 106869802| 106869802_000001| Bautismos 23 8 sep 1939–25 dic 1943 - DGS(106869802)                        | Bautismos 23 8 sep 1939–25 dic 1943 - DGS(106869802)                        | ES            | Español | 1943/1943| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 23       | Bautizo
106869803| 106869803| 106869803_000001| Bautismos 24 27 dic 1943–21 nov 1944 - DGS(106869803)                       | Bautismos 24 27 dic 1943–21 nov 1944 - DGS(106869803)                       | ES            | Español | 1944/1944| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 24       | Bautizo
106869804| 106869804| 106869804_000001| Bautismos 25 10 ene 1945–31 oct 1948 - DGS(106869804)                       | Bautismos 25 10 ene 1945–31 oct 1948 - DGS(106869804)                       | ES            | Español | 1948/1948| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 25       | Bautizo
106869805| 106869805| 106869805_000001| Bautismos 27 3 may 1952–2 jun 1954 - DGS(106869805)                         | Bautismos 27 3 may 1952–2 jun 1954 - DGS(106869805)                         | ES            | Español | 1954/1954| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 27       | Bautizo
106869806| 106869806| 106869806_000001| Bautismos 28 4 jun 1954–12 may 1958 - DGS(106869806)                        | Bautismos 28 4 jun 1954–12 may 1958 - DGS(106869806)                        | ES            | Español | 1958/1958| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 28       | Bautizo
106869807| 106869807| 106869807_000001| Bautismos 33 24 sep 1982–1 ago 1995 - DGS(106869807)                        | Bautismos 33 24 sep 1982–1 ago 1995 - DGS(106869807)                        | ES            | Español | 1995/1995| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 33       | Bautizo
106869808| 106869808| 106869808_000001| Bautismos 34 7 sep 1995–22 dic 2012 - DGS(106869808)                        | Bautismos 34 7 sep 1995–22 dic 2012 - DGS(106869808)                        | ES            | Español | 1995/1995| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 34       | Bautizo
106869809| 106869809| 106869809_000001| Bautismos 35 27 abr 2013–8 dic 2017 - DGS(106869809)                        | Bautismos 35 27 abr 2013–8 dic 2017 - DGS(106869809)                        | ES            | Español | 2017/2017| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 35       | Bautizo
106869810| 106869810| 106869810_000001| Bautismos 30 21 dic 1955–1 ene 1963 - DGS(106869810)                        | Bautismos 30 21 dic 1955–1 ene 1963 - DGS(106869810)                        | ES            | Español | 1963/1963| Candarave, Candarave, Tacna, Perú                                                                                          | Bautizo     | 30       | Bautizo
106869811| 106869811| 106869811_000001| Bautismos 3 1 oct 1967–22 feb 1970 - DGS(106869811)                         | Bautismos 3 1 oct 1967–22 feb 1970 - DGS(106869811)                         | ES            | Español | 1970/1970| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 3        | Bautizo
106869812| 106869812| 106869812_000001| Bautismos 4 7 mar 1970–24 dic 1974 - DGS(106869812)                         | Bautismos 4 7 mar 1970–24 dic 1974 - DGS(106869812)                         | ES            | Español | 1974/1974| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 4        | Bautizo
106869813| 106869813| 106869813_000001| Bautismos 8 28 feb 2001–12 abr 2008 - DGS(106869813)                        | Bautismos 8 28 feb 2001–12 abr 2008 - DGS(106869813)                        | ES            | Español | 2001/2001| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 8        | Bautizo
106869814| 106869814| 106869814_000001| Confirmaciones 1- a 31 dic 1925–30 ene 1926 - DGS(106869814)                | Confirmaciones 1- a 31 dic 1925–30 ene 1926 - DGS(106869814)                | ES            | Español | 1926/1926| Candarave, Candarave, Tacna, Perú                                                                                          | Confirmación| 1-a      | Confirmación
106869815| 106869815| 106869815_000001| Confirmaciones 2 27 ago 1939–5 mar 1951 - DGS(106869815)                    | Confirmaciones 2 27 ago 1939–5 mar 1951 - DGS(106869815)                    | ES            | Español | 1951/1951| Candarave, Candarave, Tacna, Perú                                                                                          | Confirmación| 2        | Confirmación
106869816| 106869816| 106869816_000001| Matrimonios 11 18 may 1946–28 jun 1954 - DGS(106869816)                     | Matrimonios 11 18 may 1946–28 jun 1954 - DGS(106869816)                     | ES            | Español | 1954/1954| Candarave, Candarave, Tacna, Perú                                                                                          | Matrimonio  | 11       | Matrimonio
106869817| 106869817| 106869817_000001| Matrimonios 14 19 mar 1999–31 jul 2004 - DGS(106869817)                     | Matrimonios 14 19 mar 1999–31 jul 2004 - DGS(106869817)                     | ES            | Español | 2004/2004| Candarave, Candarave, Tacna, Perú                                                                                          | Matrimonio  | 14       | Matrimonio
106869818| 106869818| 106869818_000001| Matrimonios 15 23 abr 2005–5 ago 2017 - DGS(106869818)                      | Matrimonios 15 23 abr 2005–5 ago 2017 - DGS(106869818)                      | ES            | Español | 2017/2017| Candarave, Candarave, Tacna, Perú                                                                                          | Matrimonio  | 15       | Matrimonio
106869819| 106869819| 106869819_000001| Matrimonios 1 17 ago 1958–6 dic 1964 - DGS(106869819)                       | Matrimonios 1 17 ago 1958–6 dic 1964 - DGS(106869819)                       | ES            | Español | 1974/1974| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Matrimonio  | 1        | Matrimonio
106869820| 106869820| 106869820_000001| Matrimonios 3 4 may 1991–13 nov 2007 - DGS(106869820)                       | Matrimonios 3 4 may 1991–13 nov 2007 - DGS(106869820)                       | ES            | Español | 2007/2007| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Matrimonio  | 3        | Matrimonio
106869821| 106869821| 106869821_000001| Matrimonios 2 24 dic 1974–31 mar 1991 - DGS(106869821)                      | Matrimonios 2 24 dic 1974–31 mar 1991 - DGS(106869821)                      | ES            | Español | 1991/1991| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Matrimonio  | 2        | Matrimonio
106869822| 106869822| 106869822_000001| Defunciones 9 28 abr 1998–19 jun 2012 - DGS(106869822)                      | Defunciones 9 28 abr 1998–19 jun 2012 - DGS(106869822)                      | ES            | Español | 2012/2012| Candarave, Candarave, Tacna, Perú                                                                                          | Defunción   | 9        | Defunción
106869823| 106869823| 106869823_000001| Bautismos 2 9 oct 1965–27 sep 1977 - DGS(106869823)                         | Bautismos 2 9 oct 1965–27 sep 1977 - DGS(106869823)                         | ES            | Español | 1977/1977| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 2        | Bautizo
106869824| 106869824| 106869824_000001| Bautismos 1 7 ene 1958–4 oct 1965 - DGS(106869824)                          | Bautismos 1 7 ene 1958–4 oct 1965 - DGS(106869824)                          | ES            | Español | 1965/1965| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 1        | Bautizo
106890356| 106890356| 106890356_000001| Bautismos 6 17 nov 1979–19 jul 1986 - DGS(106890356)                        | Bautismos 6 17 nov 1979–19 jul 1986 - DGS(106890356)                        | ES            | Español | 1986/1986| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 6        | Bautizo
106890357| 106890357| 106890357_000001| Bautismos 7 26 jul 1986–30 dic 2000 - DGS(106890357)                        | Bautismos 7 26 jul 1986–30 dic 2000 - DGS(106890357)                        | ES            | Español | 2000/2000| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 7        | Bautizo
106890358| 106890358| 106890358_000001| Bautismos 9 1 jun 2008–20 oct 2013 - DGS(106890358)                         | Bautismos 9 1 jun 2008–20 oct 2013 - DGS(106890358)                         | ES            | Español | 2013/2013| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 9        | Bautizo
