uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|event_type
5157845|5157845|005157845_000001|Nacimientos 1978 - DGS(005157845)|Nacimientos 1978 - DGS(005157845)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157846|5157846|005157846_000001|Nacimientos 1978 - DGS(005157846)|Nacimientos 1978 - DGS(005157846)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157847|5157847|005157847_000001|Nacimientos 1978 - DGS(005157847)|Nacimientos 1978 - DGS(005157847)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157848|5157848|005157848_000001|Nacimientos 1986 - DGS(005157848)|Nacimientos 1986 - DGS(005157848)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157849|5157849|005157849_000001|Nacimientos 1978 - DGS(005157849)|Nacimientos 1978 - DGS(005157849)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157850|5157850|005157850_000001|Nacimientos 1978 - DGS(005157850)|Nacimientos 1978 - DGS(005157850)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157851|5157851|005157851_000001|Nacimientos 1978 - DGS(005157851)|Nacimientos 1978 - DGS(005157851)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157852|5157852|005157852_000001|Nacimientos 1986 - DGS(005157852)|Nacimientos 1986 - DGS(005157852)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157853|5157853|005157853_000001|Nacimientos 1978 - DGS(005157853)|Nacimientos 1978 - DGS(005157853)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157854|5157854|005157854_000001|Nacimientos 1978 - DGS(005157854)|Nacimientos 1978 - DGS(005157854)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157855|5157855|005157855_000001|Nacimientos 1979 - DGS(005157855)|Nacimientos 1979 - DGS(005157855)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157856|5157856|005157856_000001|Nacimientos 1979 - DGS(005157856)|Nacimientos 1979 - DGS(005157856)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157857|5157857|005157857_000001|Nacimientos 1979 - DGS(005157857)|Nacimientos 1979 - DGS(005157857)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157858|5157858|005157858_000001|Nacimientos 1979 - DGS(005157858)|Nacimientos 1979 - DGS(005157858)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157859|5157859|005157859_000001|Nacimientos 1978 - DGS(005157859)|Nacimientos 1978 - DGS(005157859)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157860|5157860|005157860_000001|Nacimientos 1986 - DGS(005157860)|Nacimientos 1986 - DGS(005157860)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157861|5157861|005157861_000001|Nacimientos 1979 - DGS(005157861)|Nacimientos 1979 - DGS(005157861)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157862|5157862|005157862_000001|Nacimientos 1979 - DGS(005157862)|Nacimientos 1979 - DGS(005157862)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157863|5157863|005157863_000001|Nacimientos 1979 - DGS(005157863)|Nacimientos 1979 - DGS(005157863)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157864|5157864|005157864_000001|Nacimientos 1979 - DGS(005157864)|Nacimientos 1979 - DGS(005157864)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157865|5157865|005157865_000001|Nacimientos 1979 - DGS(005157865)|Nacimientos 1979 - DGS(005157865)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157866|5157866|005157866_000001|Nacimientos 1979 - DGS(005157866)|Nacimientos 1979 - DGS(005157866)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157867|5157867|005157867_000001|Nacimientos 1979 - DGS(005157867)|Nacimientos 1979 - DGS(005157867)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157868|5157868|005157868_000001|Nacimientos 1979 - DGS(005157868)|Nacimientos 1979 - DGS(005157868)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157869|5157869|005157869_000001|Nacimientos 1979 - DGS(005157869)|Nacimientos 1979 - DGS(005157869)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157870|5157870|005157870_000001|Nacimientos 1979 - DGS(005157870)|Nacimientos 1979 - DGS(005157870)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157871|5157871|005157871_000001|Nacimientos 1979 - DGS(005157871)|Nacimientos 1979 - DGS(005157871)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157872|5157872|005157872_000001|Nacimientos 1979 - DGS(005157872)|Nacimientos 1979 - DGS(005157872)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157873|5157873|005157873_000001|Nacimientos 1979 - DGS(005157873)|Nacimientos 1979 - DGS(005157873)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157874|5157874|005157874_000001|Nacimientos 1979 - DGS(005157874)|Nacimientos 1979 - DGS(005157874)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157875|5157875|005157875_000001|Nacimientos 1979 - DGS(005157875)|Nacimientos 1979 - DGS(005157875)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157876|5157876|005157876_000001|Nacimientos 1979 - DGS(005157876)|Nacimientos 1979 - DGS(005157876)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157877|5157877|005157877_000001|Nacimientos 1979 - DGS(005157877)|Nacimientos 1979 - DGS(005157877)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157878|5157878|005157878_000001|Nacimientos 1979 - DGS(005157878)|Nacimientos 1979 - DGS(005157878)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157879|5157879|005157879_000001|Nacimientos 1979 - DGS(005157879)|Nacimientos 1979 - DGS(005157879)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157880|5157880|005157880_000001|Nacimientos 1979 - DGS(005157880)|Nacimientos 1979 - DGS(005157880)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157881|5157881|005157881_000001|Nacimientos 1979 - DGS(005157881)|Nacimientos 1979 - DGS(005157881)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157882|5157882|005157882_000001|Nacimientos 1979 - DGS(005157882)|Nacimientos 1979 - DGS(005157882)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157883|5157883|005157883_000001|Nacimientos 1986 - DGS(005157883)|Nacimientos 1986 - DGS(005157883)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157884|5157884|005157884_000001|Nacimientos 1980 - DGS(005157884)|Nacimientos 1980 - DGS(005157884)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157885|5157885|005157885_000001|Nacimientos 1980 - DGS(005157885)|Nacimientos 1980 - DGS(005157885)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157886|5157886|005157886_000001|Nacimientos 1980 - DGS(005157886)|Nacimientos 1980 - DGS(005157886)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157887|5157887|005157887_000001|Nacimientos 1980 - DGS(005157887)|Nacimientos 1980 - DGS(005157887)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157888|5157888|005157888_000001|Nacimientos 1980 - DGS(005157888)|Nacimientos 1980 - DGS(005157888)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157889|5157889|005157889_000001|Nacimientos 1986 - DGS(005157889)|Nacimientos 1986 - DGS(005157889)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157890|5157890|005157890_000001|Nacimientos 1980 - DGS(005157890)|Nacimientos 1980 - DGS(005157890)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157891|5157891|005157891_000001|Nacimientos 1980 - DGS(005157891)|Nacimientos 1980 - DGS(005157891)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157892|5157892|005157892_000001|Nacimientos 1980 - DGS(005157892)|Nacimientos 1980 - DGS(005157892)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157893|5157893|005157893_000001|Nacimientos 1980 - DGS(005157893)|Nacimientos 1980 - DGS(005157893)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157895|5157895|005157895_000001|Nacimientos 1986 - DGS(005157895)|Nacimientos 1986 - DGS(005157895)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157897|5157897|005157897_000001|Nacimientos 1980 - DGS(005157897)|Nacimientos 1980 - DGS(005157897)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157899|5157899|005157899_000001|Nacimientos 1980 - DGS(005157899)|Nacimientos 1980 - DGS(005157899)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157901|5157901|005157901_000001|Nacimientos 1980 - DGS(005157901)|Nacimientos 1980 - DGS(005157901)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157903|5157903|005157903_000001|Nacimientos 1986 - DGS(005157903)|Nacimientos 1986 - DGS(005157903)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157905|5157905|005157905_000001|Nacimientos 1980 - DGS(005157905)|Nacimientos 1980 - DGS(005157905)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157907|5157907|005157907_000001|Nacimientos 1986 - DGS(005157907)|Nacimientos 1986 - DGS(005157907)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157909|5157909|005157909_000001|Nacimientos 1980 - DGS(005157909)|Nacimientos 1980 - DGS(005157909)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157911|5157911|005157911_000001|Nacimientos 1980 - DGS(005157911)|Nacimientos 1980 - DGS(005157911)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157913|5157913|005157913_000001|Nacimientos 1980 - DGS(005157913)|Nacimientos 1980 - DGS(005157913)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157915|5157915|005157915_000001|Nacimientos 1980 - DGS(005157915)|Nacimientos 1980 - DGS(005157915)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157917|5157917|005157917_000001|Nacimientos 1980 - DGS(005157917)|Nacimientos 1980 - DGS(005157917)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157919|5157919|005157919_000001|Nacimientos 1981 - DGS(005157919)|Nacimientos 1981 - DGS(005157919)|ES|Español|1981/1981|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157921|5157921|005157921_000001|Nacimientos 1981 - DGS(005157921)|Nacimientos 1981 - DGS(005157921)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157923|5157923|005157923_000001|Nacimientos 1981 - DGS(005157923)|Nacimientos 1981 - DGS(005157923)|ES|Español|1981/1981|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157925|5157925|005157925_000001|Nacimientos 1981 - DGS(005157925)|Nacimientos 1981 - DGS(005157925)|ES|Español|1981/1981|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157928|5157928|005157928_000001|Nacimientos 1981 - DGS(005157928)|Nacimientos 1981 - DGS(005157928)|ES|Español|1981/1981|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157932|5157932|005157932_000001|Nacimientos 1981 - DGS(005157932)|Nacimientos 1981 - DGS(005157932)|ES|Español|1981/1981|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157936|5157936|005157936_000001|Nacimientos 1981 - DGS(005157936)|Nacimientos 1981 - DGS(005157936)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157939|5157939|005157939_000001|Nacimientos 1981 - DGS(005157939)|Nacimientos 1981 - DGS(005157939)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157942|5157942|005157942_000001|Nacimientos 1981 - DGS(005157942)|Nacimientos 1981 - DGS(005157942)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157945|5157945|005157945_000001|Nacimientos 1981 - DGS(005157945)|Nacimientos 1981 - DGS(005157945)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157948|5157948|005157948_000001|Nacimientos 1981 - DGS(005157948)|Nacimientos 1981 - DGS(005157948)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157951|5157951|005157951_000001|Nacimientos 1981 - DGS(005157951)|Nacimientos 1981 - DGS(005157951)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157955|5157955|005157955_000001|Nacimientos 1986 - DGS(005157955)|Nacimientos 1986 - DGS(005157955)|ES|Español|1986/1986|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157958|5157958|005157958_000001|Nacimientos 1986 - DGS(005157958)|Nacimientos 1986 - DGS(005157958)|ES|Español|1986/1986|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157960|5157960|005157960_000001|Nacimientos 1987 - DGS(005157960)|Nacimientos 1987 - DGS(005157960)|ES|Español|1987/1987|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157962|5157962|005157962_000001|Nacimientos 1986 - DGS(005157962)|Nacimientos 1986 - DGS(005157962)|ES|Español|1986/1986|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157964|5157964|005157964_000001|Nacimientos 1987 - DGS(005157964)|Nacimientos 1987 - DGS(005157964)|ES|Español|1987/1987|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157966|5157966|005157966_000001|Nacimientos 1981 - DGS(005157966)|Nacimientos 1981 - DGS(005157966)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157970|5157970|005157970_000001|Nacimientos 1981 - DGS(005157970)|Nacimientos 1981 - DGS(005157970)|ES|Español|1981/1981|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157971|5157971|005157971_000001|Nacimientos 1988 - DGS(005157971)|Nacimientos 1988 - DGS(005157971)|ES|Español|1988/1988|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157974|5157974|005157974_000001|Nacimientos 1981 - DGS(005157974)|Nacimientos 1981 - DGS(005157974)|ES|Español|1981/1981|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157976|5157976|005157976_000001|Nacimientos 1988 - DGS(005157976)|Nacimientos 1988 - DGS(005157976)|ES|Español|1988/1988|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157977|5157977|005157977_000001|Nacimientos 1986 - DGS(005157977)|Nacimientos 1986 - DGS(005157977)|ES|Español|1986/1986|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157979|5157979|005157979_000001|Nacimientos 1989 - DGS(005157979)|Nacimientos 1989 - DGS(005157979)|ES|Español|1989/1989|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157981|5157981|005157981_000001|Nacimientos 1989 - DGS(005157981)|Nacimientos 1989 - DGS(005157981)|ES|Español|1989/1989|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157983|5157983|005157983_000001|Nacimientos 1981 - DGS(005157983)|Nacimientos 1981 - DGS(005157983)|ES|Español|1981/1981|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157984|5157984|005157984_000001|Nacimientos 1989 - DGS(005157984)|Nacimientos 1989 - DGS(005157984)|ES|Español|1989/1989|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157988|5157988|005157988_000001|Nacimientos 1989 - DGS(005157988)|Nacimientos 1989 - DGS(005157988)|ES|Español|1989/1989|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157991|5157991|005157991_000001|Nacimientos 1990 - DGS(005157991)|Nacimientos 1990 - DGS(005157991)|ES|Español|1990/1990|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157993|5157993|005157993_000001|Nacimientos 1990 - DGS(005157993)|Nacimientos 1990 - DGS(005157993)|ES|Español|1990/1990|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157995|5157995|005157995_000001|Nacimientos 1991 - DGS(005157995)|Nacimientos 1991 - DGS(005157995)|ES|Español|1991/1991|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157997|5157997|005157997_000001|Nacimientos 1992 - DGS(005157997)|Nacimientos 1992 - DGS(005157997)|ES|Español|1992/1992|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157999|5157999|005157999_000001|Nacimientos 1992 - DGS(005157999)|Nacimientos 1992 - DGS(005157999)|ES|Español|1992/1992|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158001|5158001|005158001_000001|Nacimientos 1992 - DGS(005158001)|Nacimientos 1992 - DGS(005158001)|ES|Español|1992/1992|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158003|5158003|005158003_000001|Nacimientos 1993 - DGS(005158003)|Nacimientos 1993 - DGS(005158003)|ES|Español|1993/1993|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158005|5158005|005158005_000001|Nacimientos 1993 - DGS(005158005)|Nacimientos 1993 - DGS(005158005)|ES|Español|1993/1993|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158007|5158007|005158007_000001|Nacimientos 1994 - DGS(005158007)|Nacimientos 1994 - DGS(005158007)|ES|Español|1994/1994|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158009|5158009|005158009_000001|Nacimientos 1994 - DGS(005158009)|Nacimientos 1994 - DGS(005158009)|ES|Español|1994/1994|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158011|5158011|005158011_000001|Nacimientos 1994 - DGS(005158011)|Nacimientos 1994 - DGS(005158011)|ES|Español|1994/1994|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158012|5158012|005158012_000001|Nacimientos 1914 - DGS(005158012)|Nacimientos 1914 - DGS(005158012)|ES|Español|1914/1914|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158014|5158014|005158014_000001|Nacimientos 1994 - DGS(005158014)|Nacimientos 1994 - DGS(005158014)|ES|Español|1994/1994|José Leonardo Ortiz, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158015|5158015|005158015_000001|Nacimientos 1914 - DGS(005158015)|Nacimientos 1914 - DGS(005158015)|ES|Español|1914/1914|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158017|5158017|005158017_000001|Nacimientos 1914 - DGS(005158017)|Nacimientos 1914 - DGS(005158017)|ES|Español|1914/1914|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158019|5158019|005158019_000001|Nacimientos 1915 - DGS(005158019)|Nacimientos 1915 - DGS(005158019)|ES|Español|1915/1915|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158021|5158021|005158021_000001|Nacimientos 1915 - DGS(005158021)|Nacimientos 1915 - DGS(005158021)|ES|Español|1915/1915|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158022|5158022|005158022_000001|Defunciones 1908 - DGS(005158022)|Defunciones 1908 - DGS(005158022)|ES|Español|1908/1908|Lambayeque, Lambayeque, Lambayeque, Perú|Defunción|Defunción
5158024|5158024|005158024_000001|Nacimientos 1918 - DGS(005158024)|Nacimientos 1918 - DGS(005158024)|ES|Español|1918/1918|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158025|5158025|005158025_000001|Defunciones 1925 - DGS(005158025)|Defunciones 1925 - DGS(005158025)|ES|Español|1925/1925|Chiclayo, Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158026|5158026|005158026_000001|Defunciones 1911 - DGS(005158026)|Defunciones 1911 - DGS(005158026)|ES|Español|1911/1911|Lambayeque, Lambayeque, Lambayeque, Perú|Defunción|Defunción
5158027|5158027|005158027_000001|Nacimientos 1918 - DGS(005158027)|Nacimientos 1918 - DGS(005158027)|ES|Español|1918/1918|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158029|5158029|005158029_000001|Defunciones 1938 - DGS(005158029)|Defunciones 1938 - DGS(005158029)|ES|Español|1938/1938|Lambayeque, Lambayeque, Lambayeque, Perú|Defunción|Defunción
5158030|5158030|005158030_000001|Defunciones 1925 - DGS(005158030)|Defunciones 1925 - DGS(005158030)|ES|Español|1925/1925|Chiclayo, Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158032|5158032|005158032_000001|Nacimientos 1919 - DGS(005158032)|Nacimientos 1919 - DGS(005158032)|ES|Español|1919/1919|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158033|5158033|005158033_000001|Certificados de defunción 1934 - DGS(005158033)|Certificados de defunción 1934 - DGS(005158033)|ES|Español|1934/1934|Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158034|5158034|005158034_000001|Matrimonios 1897 - DGS(005158034)|Matrimonios 1897 - DGS(005158034)|ES|Español|1897/1897|Lambayeque, Lambayeque, Lambayeque, Perú|Matrimonio|Matrimonio
5158035|5158035|005158035_000001|Nacimientos 1919 - DGS(005158035)|Nacimientos 1919 - DGS(005158035)|ES|Español|1919/1919|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158037|5158037|005158037_000001|Matrimonios 1922 - DGS(005158037)|Matrimonios 1922 - DGS(005158037)|ES|Español|1922/1922|Lambayeque, Lambayeque, Lambayeque, Perú|Matrimonio|Matrimonio
5158038|5158038|005158038_000001|Defunciones 1934 - DGS(005158038)|Defunciones 1934 - DGS(005158038)|ES|Español|1934/1934|Chiclayo, Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158040|5158040|005158040_000001|Nacimientos 1921 - DGS(005158040)|Nacimientos 1921 - DGS(005158040)|ES|Español|1921/1921|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158041|5158041|005158041_000001|Certificados de defunción 1937 - DGS(005158041)|Certificados de defunción 1937 - DGS(005158041)|ES|Español|1937/1937|Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158042|5158042|005158042_000001|Matrimonios 1923 - DGS(005158042)|Matrimonios 1923 - DGS(005158042)|ES|Español|1923/1923|Lambayeque, Lambayeque, Lambayeque, Perú|Matrimonio|Matrimonio
5158043|5158043|005158043_000001|Nacimientos 1922 - DGS(005158043)|Nacimientos 1922 - DGS(005158043)|ES|Español|1922/1922|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158045|5158045|005158045_000001|Nacimientos 1922 - DGS(005158045)|Nacimientos 1922 - DGS(005158045)|ES|Español|1922/1922|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158046|5158046|005158046_000001|Matrimonios 1925 - DGS(005158046)|Matrimonios 1925 - DGS(005158046)|ES|Español|1925/1925|Lambayeque, Lambayeque, Lambayeque, Perú|Matrimonio|Matrimonio
5158047|5158047|005158047_000001|Certificados de defunción 1937 - DGS(005158047)|Certificados de defunción 1937 - DGS(005158047)|ES|Español|1937/1937|Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158048|5158048|005158048_000001|Matrimonios 1926 - DGS(005158048)|Matrimonios 1926 - DGS(005158048)|ES|Español|1926/1926|Lambayeque, Lambayeque, Lambayeque, Perú|Matrimonio|Matrimonio
5158049|5158049|005158049_000001|Nacimientos 1922 - DGS(005158049)|Nacimientos 1922 - DGS(005158049)|ES|Español|1922/1922|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158051|5158051|005158051_000001|Matrimonios 1928 - DGS(005158051)|Matrimonios 1928 - DGS(005158051)|ES|Español|1928/1928|Lambayeque, Lambayeque, Lambayeque, Perú|Matrimonio|Matrimonio
5158052|5158052|005158052_000001|Certificados de defunción 1937 - DGS(005158052)|Certificados de defunción 1937 - DGS(005158052)|ES|Español|1937/1937|Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158054|5158054|005158054_000001|Nacimientos 1923 - DGS(005158054)|Nacimientos 1923 - DGS(005158054)|ES|Español|1923/1923|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5158055|5158055|005158055_000001|Certificados de defunción 1938 - DGS(005158055)|Certificados de defunción 1938 - DGS(005158055)|ES|Español|1938/1938|Chiclayo, Lambayeque, Perú|Defunción|Defunción
5158056|5158056|005158056_000001|Matrimonios 1931 - DGS(005158056)|Matrimonios 1931 - DGS(005158056)|ES|Español|1931/1931|Lambayeque, Lambayeque, Lambayeque, Perú|Matrimonio|Matrimonio
5158057|5158057|005158057_000001|Certificados de defunción 1938 - DGS(005158057)|Certificados de defunción 1938 - DGS(005158057)|ES|Español|1938/1938|Chiclayo, Lambayeque, Perú|Defunción|Defunción
