EXPEDIA_ID,LISTING_RESIGNDATE
111941506,1/31/25
100850088,1/31/25
93207274,1/31/25
93537838,1/31/25
94953151,1/31/25
94349571,1/31/25
94957716,1/31/25
93536509,1/31/25
94317855,1/31/25
93547799,1/31/25
94349749,1/31/25
98552171,1/31/25
94527577,1/31/25
100100243,1/31/25
106837030,1/31/25
112012077,1/31/25
111489688,1/31/25
94500484,1/31/25
93205131,1/31/25
93198715,1/31/25
106806309,1/31/25
98545230,1/31/25
109879973,2/3/25
105943155,2/3/25
100127306,2/3/25
110920347,2/3/25
94955686,2/3/25
102656399,2/3/25
100850350,2/3/25
101207879,2/3/25
93206160,2/3/25
112307669,2/3/25
106252139,2/3/25
109354945,2/3/25
109354935,2/3/25
94357711,2/3/25
94958408,2/3/25
94325906,2/3/25
94956480,2/3/25
99261036,2/3/25
106917430,2/3/25
104518298,2/3/25
100039493,2/3/25
100100140,2/3/25
93596825,2/3/25
93537647,2/3/25
111636169,2/3/25
104275164,2/3/25
101207899,2/3/25
102107175,2/4/25
109450460,2/4/25
93201640,2/4/25
103542736,2/4/25
103660357,2/4/25
94957253,2/4/25
99883928,2/4/25
101587819,2/4/25
102537898,2/4/25
94365236,2/4/25
93537095,2/4/25
94309724,2/4/25
94469609,2/4/25
109450465,2/4/25
93202820,2/4/25
100522805,2/4/25
102339339,2/4/25
94352849,2/4/25
109450461,2/4/25
110267677,2/4/25
107424438,2/4/25
94352355,2/4/25
105343420,2/4/25
103707804,2/5/25
102283282,2/5/25
93548743,2/5/25
94957707,2/5/25
98547385,2/5/25
94386639,2/5/25
106557935,2/5/25
94955878,2/5/25
100849798,2/5/25
98554406,2/5/25
94958908,2/5/25
107174034,2/5/25
105068597,2/5/25
102005158,2/5/25
100849121,2/5/25
103967167,2/5/25
93546467,2/5/25
112012088,2/5/25
111636208,2/5/25
94954880,2/5/25
94953972,2/5/25
93202523,2/5/25
98548542,2/5/25
93206541,2/5/25
112163961,2/5/25
110475422,2/5/25
106252143,2/5/25
112574555,2/5/25
94952521,2/5/25
94413621,2/5/25
93205688,2/5/25
104334069,2/5/25
94954161,2/5/25
101502885,2/6/25
93537041,2/6/25
94958554,2/6/25
106078194,2/6/25
109512892,2/6/25
100152737,2/6/25
98553764,2/6/25
93204855,2/6/25
94958273,2/6/25
94409068,2/6/25
99286113,2/6/25
94309633,2/6/25
100694658,2/6/25
100850100,2/6/25
111636194,2/6/25
94955692,2/6/25
94362603,2/6/25
101986175,2/6/25
106638472,2/6/25
103148230,2/6/25
99549686,2/6/25
98549634,2/6/25
98557381,2/6/25
104550380,2/6/25
100448524,2/6/25
100898429,2/6/25
99260996,2/6/25
107978038,2/6/25
105943110,2/6/25
107439799,2/6/25
106692217,2/6/25
93537950,2/6/25
93537990,2/6/25
94353025,2/6/25
94956901,2/6/25
94955322,2/6/25
108961289,2/6/25
106541518,2/6/25
101320956,2/6/25
93204067,2/6/25
106465905,2/6/25
105784104,2/6/25
99711800,2/6/25
93589448,2/6/25
93536475,2/6/25
93204071,2/6/25
94345547,2/6/25
